pt,gl,Alignment Score
apto,encaixar,0.7166666666666668
exceto,excepto,0.022222222222222143
expressao,expresion,0.19999999999999996
alheio,alleo,0.21333333333333326
solidariedade,solidariedade,0.0
difusao,difusion,0.1523809523809525
principalmente,principalmente,0.0
complacencia,compracencia,0.07777777777777772
despota,despota,0.0
adesao,adhesion,0.20000000000000007
perseverante,perseverante,0.0
meta,obxectivo,0.5666666666666667
seu,teu,0.3111111111111112
eminente,eminente,0.0
agil,axil,0.2333333333333334
alteridade,alteridade,0.0
cela,celula,0.04999999999999993
estabelecer,establecer,0.013333333333333308
face,cara,0.6499999999999999
premissa,premisa,0.01904761904761898
procrastinar,procrastinar,0.0
beneplacito,beneplacito,0.0
intenso,intenso,0.0
dai,polo tanto,0.7777777777777778
oportunidade,oportunidade,0.0
problema,problema,0.0
quica,quizais,0.2266666666666668
fazer,facer,0.18666666666666676
controversia,polemica,0.4916666666666667
zelo,celo,0.2333333333333334
iniquidade,iniquidade,0.0
disseminacao,difusion,0.3666666666666667
teve,tina,0.6333333333333333
dor,dor,0.0
brio,garbo,0.45000000000000007
pormenorizado,detallado,0.5037037037037038
amalgama,amalgama,0.0
superveniente,supervindo,0.20666666666666667
literalmente,literalmente,0.0
potencialidade,potencialidade,0.0
volatil,volatil,0.0
ambicao,ambicion,0.1523809523809525
luz,luz,0.0
deslumbrante,fermoso,0.6666666666666667
outrossim,en caso contrario,0.5407407407407407
transeunte,transeunte,0.0
generosidade,xenerosidade,0.07777777777777772
escusa,escusa,0.0
superficial,superficial,0.0
indiscriminado,indiscriminado,0.0
mulher,muller,0.15555555555555556
atraves,a traves,0.01904761904761898
obice,obstaculo,0.42666666666666664
magnificencia,magnificencia,0.0
consolidacao,consolidacion,0.0888888888888888
escoria,escoria,0.0
fatico,factual,0.4444444444444444
incidencia,incidencia,0.0
alvo,obxectivo,0.5166666666666666
sao,eles son,0.4444444444444444
ambicioso,ambicioso,0.0
resiliencia,resiliencia,0.0
insipido,insipido,0.0
gay,gai,0.3111111111111111
crivo,peneira,0.72
ancestralidade,ascendencia,0.4787878787878789
ainda,ainda,0.0
honestidade,honestidade,0.0
cessao,asignacion,0.5
providencia,providencia,0.0
peremptorio,perentorio,0.09999999999999998
ambiguidade,ambiguidade,0.0
inconveniente,inconveniente,0.0
dissolucao,resolucion,0.3533333333333334
respaldo,apoiar,0.6000000000000001
conveniente,conveniente,0.0
contradicao,contradicion,0.09696969696969682
frivolo,frivolo,0.0
remoto,remoto,0.0
procrastinacao,procrastinacion,0.07619047619047614
misericordia,misericordia,0.0
acento,acento,0.0
estoria,historia,0.1428571428571429
ola,ola,0.0
imprescritivel,imprescriptible,0.13809523809523805
especulacao,especulacion,0.09696969696969682
inerente,inherente,0.016666666666666607
pernicioso,perniciosa,0.09333333333333327
essencial,esencial,0.016666666666666607
vida,vida,0.0
apatico,apatico,0.0
reciproco,reciproco,0.0
escrupulo,escrupulo,0.0
mas,pero,0.8666666666666667
espontaneidade,espontaneidade,0.0
profano,profano,0.0
negligencia,neglixencia,0.08484848484848484
discriminar,discriminar,0.0
redundancia,redundancia,0.0
ego,ego,0.0
quando,cando,0.19999999999999996
incognoscivel,incognoscible,0.1384615384615382
perfidia,perfidia,0.0
ato,actuar,0.4
traz,trae,0.2333333333333334
inferir,inferir,0.0
elegivel,elixibles,0.44166666666666676
paria,paria,0.0
correlacionar,correlacionar,0.0
recesso,recreo,0.16666666666666663
empecilho,atranco,0.6190476190476191
despeito,despecho,0.21666666666666667
intransponivel,insalvable,0.4600000000000002
obstinado,obstinado,0.0
irascivel,irascible,0.19999999999999996
indissociavel,inseparables,0.4944444444444446
disponibilizar,para poner a disposicion,0.4809523809523809
constituicao,constitucion,0.1499999999999999
consciencia,consciencia,0.0
