en,es,Alignment Score
fit,adaptar,0.6888888888888889
except,excepto,0.022222222222222143
expression,expresion,0.014814814814814725
alien,extraterrestre,0.6533333333333333
solidarity,solidaridad,0.17999999999999994
diffusion,difusion,0.016666666666666607
mainly,principalmente,0.5444444444444445
complacency,complacencia,0.09090909090909083
despot,despota,0.022222222222222143
membership,afiliacion,0.7466666666666667
persevering,perseverante,0.17575757575757567
goal,meta,0.6499999999999999
your,su,0.5666666666666667
eminent,eminente,0.01904761904761898
agile,agil,0.033333333333333326
alterity,alteridad,0.22499999999999998
cell,celula,0.06666666666666676
to establish,establecer,0.3533333333333333
face,rostro,0.8666666666666667
premise,premisa,0.13333333333333341
procrastinate,aplazar,0.5809523809523809
beneplacito,beneplacito,0.0
intense,intenso,0.13333333333333341
hence,por eso,0.7066666666666668
opportunity,oportunidad,0.23636363636363633
problem,problema,0.01904761904761898
perhaps,tal vez,0.7238095238095238
to do,hacer,0.8266666666666667
controversy,controversia,0.09090909090909083
zeal,celo,0.4666666666666667
iniquity,iniquidad,0.22499999999999998
dissemination,diseminacion,0.08888888888888902
he had,el tuvo,0.5888888888888889
pain,dolor,0.85
panache,estilo,0.7
detailed,detallado,0.2416666666666667
amalgam,amalgama,0.01904761904761898
supervening,sobreviniente,0.4181818181818182
literally,literalmente,0.21481481481481468
potentiality,potencialidad,0.22777777777777763
volatile,volatil,0.01904761904761898
ambition,ambicion,0.1166666666666667
light,luz,0.6222222222222222
gorgeous,esplendido,0.6416666666666666
otherwise,de lo contrario,0.5407407407407407
passerby,transeunte,0.5666666666666667
generosity,generosidad,0.17999999999999994
excuse,disculpar,0.6111111111111112
superficial,superficial,0.0
indiscriminate,indistinto,0.22000000000000008
woman,mujer,0.6799999999999999
through,a traves de,0.6476190476190476
obstacle,obstaculo,0.13333333333333341
magnificence,magnificencia,0.08333333333333337
consolidation,consolidacion,0.07179487179487176
scum,escoria,0.5
factual,factual,0.0
incidence,incidencia,0.11111111111111116
target,objetivo,0.5888888888888888
they are,ellos son,0.6499999999999999
ambitious,ambicioso,0.20740740740740748
resilience,resiliencia,0.09999999999999987
tasteless,insipido,0.7333333333333334
gay,homosexuales,0.8222222222222223
sieve,tamiz,0.6933333333333334
ancestry,ascendencia,0.55
yet,todavia,0.6666666666666667
honesty,honestidad,0.16190476190476188
assignment,asignacion,0.34666666666666657
providence,providencia,0.09999999999999987
peremptory,perentorio,0.2666666666666667
ambiguity,ambiguedad,0.28888888888888875
inconvenient,inconveniente,0.011111111111111072
resolution,resolucion,0.09333333333333338
support,apoyo,0.56
convenient,conveniente,0.013333333333333308
contradiction,contradiccion,0.07179487179487176
frivolous,frivolo,0.028571428571428692
remote,remoto,0.15555555555555556
procrastination,dilacion,0.4083333333333333
mercy,merced,0.19999999999999996
accent,acento,0.15555555555555556
story,historia,0.2400000000000001
hello,hola,0.45000000000000007
imprescriptible,imprescriptible,0.0
speculation,especulacion,0.09696969696969704
inherent,inherente,0.016666666666666607
pernicious,pernicioso,0.09333333333333327
essential,basico,0.6222222222222222
life,vida,0.6666666666666667
apathetic,apatico,0.1523809523809525
reciprocal,reciproco,0.11111111111111116
scruple,escrupulo,0.17142857142857149
but,pero,0.8666666666666667
spontaneity,espontaneidad,0.17575757575757556
profane,profano,0.13333333333333341
negligence,negligencia,0.09999999999999987
discriminate,discriminar,0.09090909090909083
redundancy,redundancia,0.09999999999999987
ego,ego,0.0
when,cuando,0.6833333333333333
unknowable,desconocido,0.6733333333333333
perfidy,perfidia,0.1428571428571429
act,acto,0.04444444444444451
brings,trae,0.7
infer,inferir,0.039999999999999925
eligible,elegible,0.1166666666666667
pariah,paria,0.026666666666666727
correlate,correlacion,0.20740740740740737
recess,receso,0.15555555555555556
hindrance,obstaculo,0.6592592592592592
spite,despecho,0.4
insurmountable,insuperable,0.17575757575757567
obstinate,obstinado,0.19259259259259254
irascible,irascible,0.0
inseparable,inseparable,0.0
to make available,hacer disponible,0.48749999999999993
constitution,constitucion,0.07777777777777772
conscience,conciencia,0.17999999999999994
