en,gl,Alignment Score
fit,encaixar,0.7333333333333334
except,excepto,0.022222222222222143
expression,expresion,0.014814814814814725
alien,alleo,0.3733333333333334
solidarity,solidariedade,0.19333333333333325
diffusion,difusion,0.016666666666666607
mainly,principalmente,0.5444444444444445
complacency,compracencia,0.17575757575757567
despot,despota,0.022222222222222143
membership,adhesion,0.5666666666666667
persevering,perseverante,0.17575757575757567
goal,obxectivo,0.7333333333333334
your,teu,0.6222222222222222
eminent,eminente,0.01904761904761898
agile,axil,0.2666666666666667
alterity,alteridade,0.23333333333333328
cell,celula,0.06666666666666676
to establish,establecer,0.3533333333333333
face,cara,0.6499999999999999
premise,premisa,0.13333333333333341
procrastinate,procrastinar,0.08333333333333337
beneplacito,beneplacito,0.0
intense,intenso,0.13333333333333341
hence,polo tanto,0.76
opportunity,oportunidade,0.24242424242424243
problem,problema,0.01904761904761898
perhaps,quizais,0.6095238095238096
to do,facer,0.8266666666666667
controversy,polemica,0.675
zeal,celo,0.4666666666666667
iniquity,iniquidade,0.23333333333333328
dissemination,difusion,0.2583333333333334
he had,tina,0.6833333333333333
pain,dor,0.8666666666666667
panache,garbo,0.72
detailed,detallado,0.2416666666666667
amalgam,amalgama,0.01904761904761898
supervening,supervindo,0.18666666666666676
literally,literalmente,0.21481481481481468
potentiality,potencialidade,0.23333333333333317
volatile,volatil,0.01904761904761898
ambition,ambicion,0.1166666666666667
light,luz,0.6222222222222222
gorgeous,fermoso,0.5142857142857143
otherwise,en caso contrario,0.5555555555555556
passerby,transeunte,0.5666666666666667
generosity,xenerosidade,0.2799999999999999
excuse,escusa,0.3111111111111112
superficial,superficial,0.0
indiscriminate,indiscriminado,0.1238095238095237
woman,muller,0.6933333333333334
through,a traves,0.6190476190476191
obstacle,obstaculo,0.13333333333333341
magnificence,magnificencia,0.08333333333333337
consolidation,consolidacion,0.07179487179487176
scum,escoria,0.5
factual,factual,0.0
incidence,incidencia,0.11111111111111116
target,obxectivo,0.6111111111111112
they are,eles son,0.6333333333333333
ambitious,ambicioso,0.20740740740740748
resilience,resiliencia,0.09999999999999987
tasteless,insipido,0.7333333333333334
gay,gai,0.3111111111111111
sieve,peneira,0.5733333333333334
ancestry,ascendencia,0.55
yet,ainda,0.8888888888888888
honesty,honestidade,0.17142857142857137
assignment,asignacion,0.34666666666666657
providence,providencia,0.09999999999999987
peremptory,perentorio,0.2666666666666667
ambiguity,ambiguidade,0.20740740740740737
inconvenient,inconveniente,0.011111111111111072
resolution,resolucion,0.09333333333333338
support,apoiar,0.4555555555555556
convenient,conveniente,0.013333333333333308
contradiction,contradicion,0.011111111111111072
frivolous,frivolo,0.028571428571428692
remote,remoto,0.15555555555555556
procrastination,procrastinacion,0.06222222222222218
mercy,misericordia,0.30666666666666675
accent,acento,0.15555555555555556
story,historia,0.2400000000000001
hello,ola,0.6222222222222222
imprescriptible,imprescriptible,0.0
speculation,especulacion,0.09696969696969704
inherent,inherente,0.016666666666666607
pernicious,perniciosa,0.09333333333333327
essential,esencial,0.13333333333333341
life,vida,0.6666666666666667
apathetic,apatico,0.1523809523809525
reciprocal,reciproco,0.11111111111111116
scruple,escrupulo,0.17142857142857149
but,pero,0.8666666666666667
spontaneity,espontaneidade,0.18181818181818166
profane,profano,0.13333333333333341
negligence,neglixencia,0.19333333333333336
discriminate,discriminar,0.09090909090909083
redundancy,redundancia,0.09999999999999987
ego,ego,0.0
when,cando,0.6666666666666667
unknowable,incognoscible,0.38
perfidy,perfidia,0.1428571428571429
act,actuar,0.08888888888888902
brings,trae,0.7
infer,inferir,0.039999999999999925
eligible,elixibles,0.13333333333333341
pariah,paria,0.026666666666666727
correlate,correlacionar,0.2222222222222221
recess,recreo,0.30000000000000016
hindrance,atranco,0.4
spite,despecho,0.4
insurmountable,insalvable,0.28
obstinate,obstinado,0.19259259259259254
irascible,irascible,0.0
inseparable,inseparables,0.012121212121212088
to make available,para poner a disposicion,0.6274509803921569
constitution,constitucion,0.07777777777777772
conscience,consciencia,0.09999999999999987
