fr,it,Alignment Score
ajuster,adatto,0.5888888888888889
sauf,tranne,0.7
expression,espressione,0.10666666666666669
extraterrestre,alieno,0.6666666666666667
solidarite,solidarieta,0.09999999999999987
la diffusion,diffusione,0.10666666666666669
principalement,principalmente,0.06666666666666665
complaisance,compiacimento,0.30000000000000004
despote,despota,0.13333333333333341
adhesion,appartenenza,0.5666666666666667
perseverant,perseverante,0.012121212121212088
but,obiettivo,0.48888888888888893
ton,tuo,0.3111111111111112
eminent,eminente,0.01904761904761898
agile,agile,0.0
alterite,alterita,0.1166666666666667
cellule,cellula,0.13333333333333341
etablir,stabilire,0.17142857142857149
affronter,viso,0.7333333333333334
premisse,premessa,0.2333333333333334
remettre a plus tard,procrastinare,0.45128205128205134
beneplacito,beneplacito,0.0
intense,intenso,0.13333333333333341
ainsi,quindi,0.3866666666666667
opportunite,opportunita,0.08484848484848473
probleme,problema,0.1166666666666667
peut-etre,forse,0.5733333333333334
faire,fare,0.033333333333333326
controverse,controversia,0.09090909090909083
zele,zelo,0.2333333333333334
iniquite,iniquita,0.1166666666666667
dissemination,diffusione,0.3600000000000001
il avait,lui aveva,0.3416666666666668
douleur,dolore,0.3111111111111112
panache,brio,0.8833333333333334
detaille,dettagliato,0.3583333333333333
amalgame,amalgama,0.1166666666666667
survenant,sopravvenuto,0.33333333333333337
litteralement,letteralmente,0.14358974358974363
potentialite,potenzialita,0.15555555555555545
volatil,volatile,0.01904761904761898
ambition,ambizione,0.13333333333333341
lumiere,leggero,0.49523809523809526
magnifique,bellissimo,0.6799999999999999
sinon,altrimenti,0.6133333333333333
passant,passante,0.01904761904761898
generosite,generosita,0.09333333333333327
excuse,scusa,0.3866666666666667
superficiel,superficiale,0.09090909090909083
aveugle,indiscriminato,0.780952380952381
femme,donna,0.8266666666666667
a travers,attraverso,0.11851851851851858
obstacle,ostacolo,0.2333333333333334
magnificence,magnificenza,0.14444444444444438
consolidation,consolidamento,0.1435897435897434
ecume,feccia,0.5333333333333334
factuel,effettivo,0.6285714285714286
incidence,incidenza,0.19259259259259254
cible,bersaglio,0.5733333333333333
ils sont,sono,0.31666666666666676
ambitieux,ambizioso,0.3851851851851852
resilience,resilienza,0.17333333333333334
insipide,insapore,0.33333333333333337
gay,gay,0.0
tamis,setaccio,0.42666666666666664
ascendance,ascendenza,0.2533333333333333
encore,ancora,0.3111111111111112
honnetete,onesta,0.3555555555555556
affectation,incarico,0.4833333333333334
providence,provvidenza,0.18666666666666676
peremptoire,perentorio,0.2799999999999999
ambiguite,ambiguita,0.10370370370370374
incommode,sconveniente,0.5851851851851853
resolution,risoluzione,0.19999999999999996
soutien,supporto,0.5047619047619049
pratique,conveniente,0.6499999999999999
contradiction,contraddizione,0.14871794871794863
frivole,frivolo,0.13333333333333341
telecommande,a distanza,0.6
procrastination,indugio,0.4571428571428572
misericorde,misericordia,0.09090909090909083
accent,accento,0.022222222222222143
histoire,storia,0.33333333333333337
bonjour,ciao,0.7
imprescriptible,imprescrittibile,0.07111111111111101
speculation,speculazione,0.09696969696969693
inherent,inerente,0.1166666666666667
pernicieux,pernicioso,0.2533333333333333
essentiel,essenziale,0.2148148148148148
vie,vita,0.33333333333333337
apathique,apatico,0.2761904761904761
reciproque,reciproco,0.19999999999999996
scrupule,scrupolo,0.2333333333333334
mais,ma,0.09999999999999998
spontaneite,spontaneita,0.08484848484848473
profane,profano,0.13333333333333341
negligence,negligenza,0.17333333333333334
discriminer,discriminare,0.09090909090909083
redondance,ridondanza,0.2666666666666667
ego,ego,0.0
quand,quando,0.026666666666666727
inconnaissable,inconoscibile,0.2717948717948717
perfidie,perfidia,0.1166666666666667
acte,atto,0.45000000000000007
apporte,porta,0.22666666666666668
deduire,dedurre,0.13333333333333341
admissible,idoneo,0.6222222222222222
paria,paria,0.0
correlatif,correlare,0.19999999999999996
recreation,recesso,0.2952380952380953
obstacle,ostacolo,0.2333333333333334
depit,dispetto,0.4
insurmontable,insormontabile,0.08205128205128209
obstine,ostinato,0.2666666666666666
irascible,irascibile,0.014814814814814725
inseparable,inseparabile,0.012121212121212088
mettre a disposition,mettere a disposizione,0.05999999999999994
constitution,costituzione,0.15555555555555556
conscience,coscienza,0.20740740740740748
