it,gl,Alignment Score
quota,cota,0.25
audace,atrevido,0.5888888888888888
liberta,liberdade,0.16190476190476188
autoctono,autoctona,0.10370370370370374
confutare,refutar,0.2761904761904762
pernostico,pernostico,0.0
dannoso,prexudicial,0.6476190476190475
costante,constante,0.016666666666666607
non necessario,innecesario,0.10909090909090913
sole,sol,0.04444444444444451
ispirazione,inspiracion,0.1696969696969698
quello,iso,0.6444444444444444
a caso,aleatoriamente,0.5444444444444445
tutto,todos,0.5066666666666666
complesso,complexo,0.125
tuo,teu,0.3111111111111112
scopo,proposito,0.41333333333333333
atto,act,0.33333333333333337
di buon auspicio,auspicioso,0.21333333333333326
tribolazione,tribulacion,0.18181818181818177
desiderio,saudade,0.5142857142857143
altruista,desinteresado,0.5259259259259259
gufo,curuxa,0.7
stereotipo,estereotipo,0.013333333333333308
padronanza,mestria,0.638095238095238
struttura,marco,0.7333333333333334
coincidenza,coincidencia,0.09090909090909083
bisogno,necesidade,0.7428571428571429
riparazione,reparacion,0.19999999999999996
fine,fin,0.04444444444444451
e stato,foi,0.6888888888888889
amico,amigo,0.18666666666666676
originario,orixinaria,0.18666666666666676
di piu,mais,0.7
acquiescenza,aquiescencia,0.1499999999999999
lussuria,luxuria,0.1428571428571429
cielo,ceo,0.08888888888888902
relazione,relacion,0.13333333333333341
parallelo,paralelo,0.016666666666666607
senza pretese,sen pretensions,0.21025641025641018
intermittente,intermitente,0.011111111111111072
specifica,especificacion,0.051851851851851705
monosillabico,monosilabo,0.033333333333333215
superbo,xenial,0.7222222222222222
avvocato,avogado,0.2857142857142858
diligenza,dilixencia,0.2148148148148148
chiaro,claro,0.19999999999999996
amore,amor,0.033333333333333326
persuadere,persuadir,0.11851851851851858
pieta,piedade,0.2266666666666668
estratto,extracto,0.2333333333333334
influenza,influencia,0.11111111111111116
censimento,censo,0.08000000000000007
diffondere,difusa,0.4666666666666668
forte,forte,0.0
innato,innato,0.0
scettico,esceptico,0.13333333333333341
conferenza,conferencia,0.09999999999999998
fiducia,confiar,0.48571428571428577
colosso,coloso,0.022222222222222143
mano,man,0.04444444444444451
nessuno,nun,0.1333333333333333
procedere,proceder,0.016666666666666607
pieno,cheo,0.4666666666666667
bene,bo,0.5333333333333334
scienza,ciencia,0.25714285714285723
coercitivo,coercitivo,0.0
denso,densa,0.18666666666666676
pretenzioso,pretencioso,0.08484848484848484
eccezionale,excepcional,0.24242424242424243
probabilmente,probablemente,0.07179487179487176
felicita,felicidade,0.1416666666666666
asintomatico,asintomatico,0.0
proposizione,proposicion,0.09696969696969693
completamente,a fondo,0.6761904761904762
preponderanza,preponderancia,0.07692307692307687
stabile,estable,0.13333333333333341
specificita,especificidade,0.115151515151515
percio,polo tanto,0.6
iconico,iconico,0.0
essendo,sendo,0.039999999999999925
ricerca,buscar,0.5777777777777777
motivo,razon,0.6933333333333334
piacere,pracer,0.1777777777777778
fiele,fel,0.08888888888888902
sotto,baixo,0.6666666666666667
utopia,utopia,0.0
rivoluzionario,revolucionario,0.13333333333333341
eccellente,excelente,0.11851851851851858
sano,saudable,0.5
come questo,como isto,0.2222222222222222
parola,palabra,0.30000000000000004
con,con,0.0
malversatore,malversador,0.09696969696969693
apprezzamento,aprecio,0.3142857142857144
emotivo,emocional,0.2857142857142857
pecuniario,pecuniario,0.0
rimborso,reembolso,0.2416666666666667
indulgente,indulxente,0.09333333333333338
pertinente,relevantes,0.42666666666666664
sognare ad occhi aperti,sonar despierto,0.2844444444444444
introspettivo,introspectivo,0.07179487179487176
genuino,xenuino,0.13333333333333341
stratagemma,artimana,0.4666666666666667
fugace,fugaz,0.19999999999999996
noi,nos,0.3111111111111111
estasi,extase,0.3111111111111112
assioma,axioma,0.16666666666666663
giorno,dia,0.6888888888888889
allusione,alusion,0.03809523809523818
caos,caos,0.0
disciplina,disciplina,0.0
ode,oda,0.3111111111111111
sorellanza,irmandade,0.5037037037037038
tenue,tenue,0.0
natura selvaggia,deserto,0.6952380952380952
primato,primacia,0.2571428571428571
umiliante,degradante,0.4666666666666667
disgrazia,deshonra,0.45000000000000007
