en,es,Alignment Score
quota,cuota,0.18666666666666676
daring,atrevido,0.47777777777777786
freedom,libertad,0.6190476190476191
autochthonous,autoctono,0.051851851851851816
refute,refutar,0.16666666666666663
pernostic,pernostico,0.014814814814814725
harmful,danino,0.7222222222222222
constant,constante,0.016666666666666607
unnecessary,innecesario,0.24848484848484853
sun,sol,0.5777777777777777
inspiration,inspiracion,0.08484848484848484
that,eso,0.8666666666666667
randomly,aleatoriamente,0.5916666666666668
all,todo,0.8666666666666667
complex,complejo,0.1428571428571429
your,su,0.5666666666666667
purpose,objetivo,0.6190476190476191
act,acto,0.04444444444444451
auspicious,propicio,0.3416666666666667
tribulation,tribulacion,0.08484848484848484
longing,anhelo,0.5666666666666667
selfless,desinteresado,0.4916666666666667
owl,buho,0.6000000000000001
stereotype,estereotipo,0.19999999999999996
mastery,maestria,0.2761904761904762
framework,estructura,0.6518518518518519
coincidence,coincidencia,0.09090909090909083
need,necesidad,0.11666666666666681
repair,reparar,0.16666666666666663
end,fin,0.6000000000000001
he was,el era,0.4555555555555556
friend,amigo,0.7066666666666668
originating,originario,0.19333333333333336
more,mas,0.6000000000000001
acquiescence,aquiescencia,0.1499999999999999
lust,lujuria,0.4833333333333334
sky,cielo,0.8888888888888888
relationship,relacion,0.15833333333333321
parallel,paralelo,0.1166666666666667
unpretentious,no pretencioso,0.2205128205128205
intermittent,intermitente,0.07777777777777772
specification,especificacion,0.08205128205128198
monosyllabic,monosilabico,0.1499999999999999
superb,magnifico,0.8555555555555556
advocate,defensor,0.625
diligence,diligencia,0.11111111111111116
clear,claro,0.18666666666666676
love,amar,0.8333333333333334
persuade,persuadir,0.125
piety,piedad,0.3600000000000001
excerpt,extracto,0.38095238095238104
influence,influencia,0.11111111111111116
census,censo,0.19999999999999996
diffuse,difuso,0.1777777777777778
strong,fuerte,0.7111111111111111
innate,innato,0.15555555555555556
skeptical,esceptico,0.3037037037037037
conference,conferencia,0.09999999999999987
trust,confianza,0.88
colossus,coloso,0.1777777777777777
hand,mano,0.4666666666666667
on one,en uno,0.4444444444444444
proceed,proceder,0.1428571428571429
full,lleno,0.45000000000000007
good,bien,0.8333333333333334
science,ciencia,0.2571428571428571
coercive,coactivo,0.3416666666666667
dense,denso,0.18666666666666676
pretentious,pretencioso,0.1696969696969698
exceptional,excepcional,0.08484848484848484
probably,probablemente,0.15833333333333321
happiness,felicidad,0.7407407407407407
asymptomatic,asintomatico,0.21666666666666656
proposition,proposicion,0.08484848484848484
thoroughly,minuciosamente,0.7666666666666666
preponderance,preponderancia,0.07692307692307687
stable,estable,0.022222222222222143
specificity,especificidad,0.17575757575757556
therefore,por lo tanto,0.6666666666666667
iconic,iconico,0.022222222222222143
being,ser,0.6666666666666667
search,buscar,0.4444444444444444
reason,razon,0.21333333333333326
pleasure,placer,0.3222222222222223
gall,hiel,0.6333333333333333
under,bajo,0.85
utopia,utopia,0.0
revolutionary,revolucionario,0.14871794871794863
excellent,excelente,0.10370370370370374
wholesome,sano,0.5333333333333334
like this,asi,0.7333333333333334
word,palabra,0.7166666666666667
with,con,0.8666666666666667
embezzler,desfalcador,0.5851851851851853
appreciation,apreciacion,0.09696969696969704
emotional,emocional,0.10370370370370374
pecuniary,pecuniario,0.11111111111111116
refund,reembolso,0.5888888888888889
indulgent,indulgente,0.014814814814814725
relevant,importante,0.45000000000000007
daydream,ensueno,0.7238095238095238
introspective,introspectivo,0.07179487179487176
genuine,genuino,0.13333333333333341
ruse,ardid,0.6666666666666667
fleeting,fugaz,0.56
us,a nosotros,0.7333333333333334
ecstasy,extasis,0.38095238095238093
axiom,axioma,0.026666666666666727
day,dia,0.3111111111111112
allusion,alusion,0.01904761904761898
chaos,caos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,oda,0.3111111111111111
sorority,hermandad de mujeres,0.75
tenuous,tenue,0.21333333333333337
wilderness,desierto,0.5416666666666667
primacy,primacia,0.1428571428571429
demeaning,degradante,0.4814814814814815
disgrace,desgracia,0.2416666666666667
