pt,it,Alignment Score
contingente,quota,0.6266666666666667
audaz,audace,0.19999999999999996
liberdade,liberta,0.16190476190476188
autoctone,autoctono,0.10370370370370374
refutar,confutare,0.2761904761904762
pernostico,pernostico,0.0
nocivo,dannoso,0.4444444444444444
constante,costante,0.016666666666666607
desnecessario,non necessario,0.20000000000000007
sol,sole,0.04444444444444451
inspiracao,ispirazione,0.2733333333333333
isso,quello,0.6666666666666667
aleatoriamente,a caso,0.5444444444444445
tudo,tutto,0.25
complexo,complesso,0.125
sua,tuo,0.6222222222222222
proposito,scopo,0.41333333333333333
agir,atto,0.6333333333333333
auspicioso,di buon auspicio,0.21333333333333326
tribulacao,tribolazione,0.28666666666666674
saudade,desiderio,0.5142857142857143
abnegado,altruista,0.6333333333333333
corja,gufo,0.6666666666666667
estereotipo,stereotipo,0.013333333333333308
maestria,padronanza,0.5666666666666667
arcabouco,struttura,0.6518518518518519
coincidencia,coincidenza,0.09090909090909083
necessidade,bisogno,0.7523809523809524
conserto,riparazione,0.5583333333333333
fim,fine,0.33333333333333337
foi,e stato,0.6888888888888889
amigo,amico,0.18666666666666676
proveniente,originario,0.6066666666666667
mais,di piu,0.7
aquiescencia,acquiescenza,0.1499999999999999
lascivia,lussuria,0.43333333333333335
ceu,cielo,0.37777777777777777
relacao,relazione,0.2761904761904762
paralelo,parallelo,0.016666666666666607
despretensioso,senza pretese,0.4
intermitente,intermittente,0.011111111111111072
especificacao,specifica,0.04444444444444429
monossilabico,monosillabico,0.07179487179487176
soberba,superbo,0.38095238095238093
preconizar,avvocato,0.6499999999999999
diligencia,diligenza,0.11111111111111116
limpido,chiaro,0.5888888888888889
amor,amore,0.033333333333333326
persuadir,persuadere,0.11851851851851858
piedade,pieta,0.2266666666666668
excerto,estratto,0.38095238095238093
influencia,influenza,0.11111111111111116
censo,censimento,0.08000000000000007
difuso,diffondere,0.34444444444444455
forte,forte,0.0
inato,innato,0.026666666666666727
cetico,scettico,0.04444444444444451
conferencia,conferenza,0.09999999999999998
confianca,fiducia,0.4
colosso,colosso,0.0
mao,mano,0.04444444444444451
num,nessuno,0.42222222222222217
proceder,procedere,0.016666666666666607
plena,pieno,0.3733333333333334
bem,bene,0.33333333333333337
ciencia,scienza,0.25714285714285723
coercitivo,coercitivo,0.0
denso,denso,0.0
pretensioso,pretenzioso,0.08484848484848484
excepcional,eccezionale,0.24242424242424243
provavelmente,probabilmente,0.20512820512820518
alegria,felicita,0.5047619047619049
assintomatico,asintomatico,0.011111111111111072
proposicao,proposizione,0.19333333333333325
minuciosamente,completamente,0.33333333333333337
preponderancia,preponderanza,0.07692307692307687
estavel,stabile,0.38095238095238104
especificidade,specificita,0.115151515151515
portanto,percio,0.4666666666666667
iconico,iconico,0.0
sendo,essendo,0.039999999999999925
buscar,ricerca,0.5777777777777777
razao,motivo,0.6799999999999999
prazer,piacere,0.33333333333333337
fel,fiele,0.08888888888888902
sob,sotto,0.3555555555555555
utopia,utopia,0.0
revolucionario,rivoluzionario,0.13333333333333341
eximio,eccellente,0.7333333333333334
salutar,sano,0.4833333333333334
assim,come questo,0.76
vocabulo,parola,0.6111111111111112
com,con,0.3111111111111111
estelionatario,malversatore,0.5055555555555556
apreco,apprezzamento,0.24444444444444458
emotivo,emotivo,0.0
pecuniaria,pecuniario,0.09333333333333327
ressarcimento,rimborso,0.4666666666666667
indulgente,indulgente,0.0
pertinente,pertinente,0.0
devaneio,sognare ad occhi aperti,0.5833333333333333
introspectivo,introspettivo,0.07179487179487176
genuino,genuino,0.0
ardil,stratagemma,0.7466666666666666
fugaz,fugace,0.19999999999999996
nos,noi,0.3111111111111111
extase,estasi,0.3111111111111112
axioma,assioma,0.16666666666666663
dia,giorno,0.6888888888888889
alusao,allusione,0.21111111111111114
caos,caos,0.0
disciplina,disciplina,0.0
ode,ode,0.0
sororidade,sorellanza,0.4933333333333334
tenue,tenue,0.0
ermo,natura selvaggia,0.85
primazia,primato,0.2571428571428571
desumilde,umiliante,0.3777777777777779
desgraca,disgrazia,0.2416666666666667
