it,ro,Alignment Score
quota,cota,0.25
audace,indraznet,0.5
liberta,libertate,0.028571428571428692
autoctono,autohton,0.13333333333333341
confutare,respinge,0.625
pernostico,pernostic,0.014814814814814725
dannoso,daunatoare,0.4095238095238096
costante,constant,0.1166666666666667
non necessario,inutil,0.6777777777777778
sole,soare,0.25
ispirazione,inspiratie,0.19333333333333336
quello,acea,0.7
a caso,la intamplare,0.5333333333333334
tutto,toate,0.5066666666666666
complesso,complex,0.1523809523809524
tuo,ta,0.5
scopo,scop,0.033333333333333326
atto,act,0.33333333333333337
di buon auspicio,de bun augur,0.31666666666666665
tribolazione,necazul,0.638095238095238
desiderio,dor,0.4444444444444444
altruista,altruista,0.0
gufo,bufnita,0.5166666666666666
stereotipo,stereotip,0.014814814814814725
padronanza,maiestrie,0.674074074074074
struttura,cadru,0.5733333333333333
coincidenza,coincidenta,0.08484848484848473
bisogno,nevoie,0.5777777777777777
riparazione,reparatie,0.22962962962962974
fine,sfarsit,0.5166666666666666
e stato,el a fost,0.39047619047619053
amico,prieten,0.72
originario,originara,0.11111111111111116
di piu,mai mult,0.47777777777777775
acquiescenza,incuviintare,0.5111111111111112
lussuria,pofta,0.7066666666666668
cielo,cer,0.37777777777777777
relazione,relatie,0.16190476190476188
parallelo,paralel,0.03809523809523818
senza pretese,modest,0.6444444444444445
intermittente,intermitent,0.024242424242424176
specifica,specificatie,0.02962962962962956
monosillabico,monosilabic,0.024242424242424176
superbo,superb,0.022222222222222143
avvocato,avocat,0.04444444444444451
diligenza,diligenta,0.10370370370370374
chiaro,clar,0.2833333333333333
amore,dragoste,0.42666666666666664
persuadere,convinge,0.7333333333333334
pieta,pietate,0.039999999999999925
estratto,extras,0.3333333333333335
influenza,influenta,0.10370370370370374
censimento,recensamant,0.28666666666666674
diffondere,difuz,0.41333333333333344
forte,puternic,0.56
innato,innascut,0.1777777777777778
scettico,sceptic,0.1523809523809525
conferenza,conferinta,0.18666666666666676
fiducia,incredere,0.6285714285714286
colosso,colos,0.039999999999999925
mano,mana,0.2333333333333334
nessuno,pe unu,0.47777777777777786
procedere,continua,0.7333333333333334
pieno,deplin,0.3866666666666667
bene,bun,0.3555555555555556
scienza,stiinta,0.39047619047619053
coercitivo,coercitiv,0.014814814814814725
denso,dens,0.033333333333333326
pretenzioso,pretentios,0.10666666666666669
eccezionale,exceptional,0.24848484848484853
probabilmente,probabil,0.04999999999999982
felicita,fericire,0.33333333333333337
asintomatico,asimptomatica,0.16111111111111098
proposizione,propozitie,0.19333333333333325
completamente,temeinic,0.4916666666666667
preponderanza,preponderenta,0.1435897435897434
stabile,grajd,0.72
specificita,specificitate,0.018181818181817966
percio,prin urmare,0.5000000000000001
iconico,simbolic,0.4095238095238096
essendo,fiind,0.5466666666666666
ricerca,cautare,0.5904761904761905
motivo,motiv,0.026666666666666727
piacere,placere,0.13333333333333341
fiele,fiere,0.18666666666666676
sotto,sub,0.6222222222222222
utopia,utopie,0.15555555555555556
rivoluzionario,revolutionar,0.17222222222222217
eccellente,excelent,0.15000000000000002
sano,sanatos,0.08333333333333337
come questo,ca aceasta,0.45333333333333337
parola,cuvant,0.7
con,cu,0.5
malversatore,delapidator,0.4727272727272728
apprezzamento,apreciere,0.41481481481481497
emotivo,emotional,0.1523809523809524
pecuniario,pecuniara,0.11111111111111116
rimborso,restituire,0.55
indulgente,indulgent,0.014814814814814725
pertinente,relevante,0.3851851851851852
sognare ad occhi aperti,visarea cu ochii deschisi,0.38550724637681144
introspettivo,introspectiv,0.0888888888888888
genuino,autentic,0.5238095238095238
stratagemma,siretlic,0.5666666666666667
fugace,trecatoare,0.6111111111111112
noi,s.u.a,0.8888888888888888
estasi,extaz,0.3866666666666667
assioma,axioma,0.16666666666666663
giorno,zi,0.6333333333333333
allusione,aluzie,0.21111111111111114
caos,haos,0.2333333333333334
disciplina,disciplina,0.0
ode,oda,0.3111111111111111
sorellanza,sorority,0.5333333333333334
tenue,tenue,0.0
natura selvaggia,pustie,0.5666666666666667
primato,primatul,0.1428571428571429
umiliante,injositoare,0.48888888888888893
disgrazia,rusine,0.6222222222222222
