es,it,Alignment Score
cuota,quota,0.18666666666666676
atrevido,audace,0.5888888888888888
libertad,liberta,0.01904761904761898
autoctono,autoctono,0.0
refutar,confutare,0.2761904761904762
pernostico,pernostico,0.0
danino,dannoso,0.16666666666666663
constante,costante,0.016666666666666607
innecesario,non necessario,0.10909090909090913
sol,sole,0.04444444444444451
inspiracion,ispirazione,0.1696969696969698
eso,quello,0.3999999999999999
aleatoriamente,a caso,0.5444444444444445
todo,tutto,0.45000000000000007
complejo,complesso,0.125
su,tuo,0.5333333333333334
objetivo,scopo,0.56
acto,atto,0.2333333333333334
propicio,di buon auspicio,0.29166666666666663
tribulacion,tribolazione,0.18181818181818177
anhelo,desiderio,0.6111111111111112
desinteresado,altruista,0.5259259259259259
buho,gufo,0.4666666666666667
estereotipo,stereotipo,0.013333333333333308
maestria,padronanza,0.5666666666666667
estructura,struttura,0.11851851851851858
coincidencia,coincidenza,0.09090909090909083
necesidad,bisogno,0.7333333333333334
reparar,riparazione,0.3047619047619047
fin,fine,0.04444444444444451
el era,e stato,0.4555555555555556
amigo,amico,0.18666666666666676
originario,originario,0.0
mas,di piu,0.9111111111111111
aquiescencia,acquiescenza,0.1499999999999999
lujuria,lussuria,0.1428571428571429
cielo,cielo,0.0
relacion,relazione,0.13333333333333341
paralelo,parallelo,0.016666666666666607
no pretencioso,senza pretese,0.3435897435897436
intermitente,intermittente,0.011111111111111072
especificacion,specifica,0.051851851851851705
monosilabico,monosillabico,0.011111111111111072
magnifico,superbo,0.7238095238095239
defensor,avvocato,0.7250000000000001
diligencia,diligenza,0.11111111111111116
claro,chiaro,0.19999999999999996
amar,amore,0.2666666666666666
persuadir,persuadere,0.11851851851851858
piedad,pieta,0.21333333333333337
extracto,estratto,0.2333333333333334
influencia,influenza,0.11111111111111116
censo,censimento,0.08000000000000007
difuso,diffondere,0.34444444444444455
fuerte,forte,0.19999999999999996
innato,innato,0.0
esceptico,scettico,0.13333333333333341
conferencia,conferenza,0.09999999999999998
confianza,fiducia,0.5047619047619047
coloso,colosso,0.022222222222222143
mano,mano,0.0
en uno,nessuno,0.3111111111111111
proceder,procedere,0.016666666666666607
lleno,pieno,0.34666666666666657
bien,bene,0.2333333333333334
ciencia,scienza,0.25714285714285723
coactivo,coercitivo,0.1416666666666666
denso,denso,0.0
pretencioso,pretenzioso,0.08484848484848484
excepcional,eccezionale,0.24242424242424243
probablemente,probabilmente,0.07179487179487176
felicidad,felicita,0.13333333333333341
asintomatico,asintomatico,0.0
proposicion,proposizione,0.09696969696969693
minuciosamente,completamente,0.33333333333333337
preponderancia,preponderanza,0.07692307692307687
estable,stabile,0.13333333333333341
especificidad,specificita,0.1090909090909089
por lo tanto,percio,0.5111111111111111
iconico,iconico,0.0
ser,essendo,0.4222222222222223
buscar,ricerca,0.5777777777777777
razon,motivo,0.6933333333333334
placer,piacere,0.1777777777777778
hiel,fiele,0.2666666666666667
bajo,sotto,0.6499999999999999
utopia,utopia,0.0
revolucionario,rivoluzionario,0.13333333333333341
excelente,eccellente,0.11851851851851858
sano,sano,0.0
asi,come questo,0.8
palabra,parola,0.30000000000000004
con,con,0.0
desfalcador,malversatore,0.48484848484848486
apreciacion,apprezzamento,0.4121212121212121
emocional,emotivo,0.2857142857142857
pecuniario,pecuniario,0.0
reembolso,rimborso,0.2416666666666667
indulgente,indulgente,0.0
importante,pertinente,0.3533333333333334
ensueno,sognare ad occhi aperti,0.6571428571428571
introspectivo,introspettivo,0.07179487179487176
genuino,genuino,0.0
ardid,stratagemma,0.7466666666666666
fugaz,fugace,0.19999999999999996
a nosotros,noi,0.48888888888888893
extasis,estasi,0.1777777777777778
axioma,assioma,0.16666666666666663
dia,giorno,0.6888888888888889
alusion,allusione,0.03809523809523818
caos,caos,0.0
disciplina,disciplina,0.0
oda,ode,0.3111111111111111
hermandad de mujeres,sorellanza,0.5933333333333335
tenue,tenue,0.0
desierto,natura selvaggia,0.7083333333333333
primacia,primato,0.2571428571428571
degradante,umiliante,0.4666666666666667
desgracia,disgrazia,0.20740740740740748
