en,ro,Alignment Score
quota,cota,0.25
daring,indraznet,0.5
freedom,libertate,0.6285714285714286
autochthonous,autohton,0.06666666666666676
refute,respinge,0.4444444444444444
pernostic,pernostic,0.0
harmful,daunatoare,0.638095238095238
constant,constant,0.0
unnecessary,inutil,0.7555555555555555
sun,soare,0.6222222222222222
inspiration,inspiratie,0.09999999999999987
that,acea,0.6499999999999999
randomly,la intamplare,0.5083333333333333
all,toate,0.6444444444444445
complex,complex,0.0
your,ta,0.9333333333333333
purpose,scop,0.6833333333333333
act,act,0.0
auspicious,de bun augur,0.6066666666666667
tribulation,necazul,0.638095238095238
longing,dor,0.7111111111111111
selfless,altruista,0.6499999999999999
owl,bufnita,0.9333333333333333
stereotype,stereotip,0.11851851851851858
mastery,maiestrie,0.2761904761904761
framework,cadru,0.6133333333333334
coincidence,coincidenta,0.15757575757575748
need,nevoie,0.2666666666666667
repair,reparatie,0.18888888888888877
end,sfarsit,0.9333333333333333
he was,el a fost,0.3555555555555556
friend,prieten,0.3222222222222223
originating,originara,0.20740740740740737
more,mai mult,0.7
acquiescence,incuviintare,0.5055555555555556
lust,pofta,0.6666666666666667
sky,cer,0.8444444444444444
relationship,relatie,0.18095238095238086
parallel,paralel,0.01904761904761898
unpretentious,modest,0.6555555555555556
intermittent,intermitent,0.012121212121212088
specification,specificatie,0.08333333333333337
monosyllabic,monosilabic,0.09090909090909094
superb,superb,0.0
advocate,avocat,0.04444444444444451
diligence,diligenta,0.19259259259259254
clear,clar,0.033333333333333326
love,dragoste,0.5333333333333334
persuade,convinge,0.7166666666666668
piety,pietate,0.21333333333333337
excerpt,extras,0.43333333333333335
influence,influenta,0.19259259259259254
census,recensamant,0.3555555555555556
diffuse,difuz,0.2266666666666668
strong,puternic,0.48888888888888893
innate,innascut,0.1777777777777778
skeptical,sceptic,0.16190476190476188
conference,conferinta,0.2666666666666667
trust,incredere,0.7466666666666667
colossus,colos,0.05333333333333323
hand,mana,0.4666666666666667
on one,pe unu,0.6000000000000001
proceed,continua,0.7238095238095238
full,deplin,0.6833333333333333
good,bun,0.8666666666666667
science,stiinta,0.5047619047619049
coercive,coercitiv,0.125
dense,dens,0.033333333333333326
pretentious,pretentios,0.013333333333333308
exceptional,exceptional,0.0
probably,probabil,0.1166666666666667
happiness,fericire,0.6499999999999999
asymptomatic,asimptomatica,0.08888888888888902
proposition,propozitie,0.19333333333333336
thoroughly,temeinic,0.7333333333333334
preponderance,preponderenta,0.19487179487179473
stable,grajd,0.7066666666666668
specificity,specificitate,0.09696969696969682
therefore,prin urmare,0.5777777777777777
iconic,simbolic,0.34444444444444444
being,fiind,0.5333333333333333
search,cautare,0.5888888888888889
reason,motiv,0.7066666666666668
pleasure,placere,0.2571428571428571
gall,fiere,0.85
under,sub,0.6444444444444445
utopia,utopie,0.15555555555555556
revolutionary,revolutionar,0.011111111111111072
excellent,excelent,0.016666666666666607
wholesome,sanatos,0.6285714285714286
like this,ca aceasta,0.6666666666666667
word,cuvant,0.8666666666666667
with,cu,0.9333333333333333
embezzler,delapidator,0.5777777777777777
appreciation,apreciere,0.311111111111111
emotional,emotional,0.0
pecuniary,pecuniara,0.10370370370370374
refund,restituire,0.48888888888888893
indulgent,indulgent,0.0
relevant,relevante,0.016666666666666607
daydream,visarea cu ochii deschisi,0.5833333333333335
introspective,introspectiv,0.011111111111111072
genuine,autentic,0.5238095238095238
ruse,siretlic,0.5166666666666666
fleeting,trecatoare,0.6499999999999999
us,s.u.a,0.5666666666666667
ecstasy,extaz,0.4
axiom,axioma,0.026666666666666727
day,zi,0.9
allusion,aluzie,0.34444444444444455
chaos,haos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,oda,0.3111111111111111
sorority,sorority,0.0
tenuous,tenue,0.21333333333333337
wilderness,pustie,0.6222222222222222
primacy,primatul,0.2571428571428571
demeaning,injositoare,0.6592592592592592
disgrace,rusine,0.5888888888888889
