fr,it,Alignment Score
quota,quota,0.0
audacieux,audace,0.05555555555555558
liberte,liberta,0.13333333333333341
autochtone,autoctono,0.11851851851851858
refuter,confutare,0.40000000000000013
pernostique,pernostico,0.17999999999999994
nocif,dannoso,0.5466666666666666
constante,costante,0.016666666666666607
inutile,non necessario,0.6761904761904762
soleil,sole,0.050000000000000155
inspiration,ispirazione,0.1696969696969698
que,quello,0.08888888888888902
au hasard,a caso,0.3555555555555556
tous,tutto,0.45000000000000007
complexe,complesso,0.22499999999999998
ton,tuo,0.3111111111111112
but,scopo,0.8888888888888888
acte,atto,0.45000000000000007
de bon augure,di buon auspicio,0.3487179487179486
tribulations,tribolazione,0.2333333333333334
desir,desiderio,0.08000000000000007
desinteresse,altruista,0.6074074074074074
hibou,gufo,0.6666666666666667
stereotype,stereotipo,0.18666666666666676
la maitrise,padronanza,0.6799999999999999
cadre,struttura,0.7333333333333334
coincidence,coincidenza,0.15757575757575748
besoin,bisogno,0.3333333333333335
reparation,riparazione,0.19999999999999996
fin,fine,0.04444444444444451
il etait,e stato,0.39047619047619053
ami,amico,0.06666666666666687
originaire,originario,0.17999999999999994
plus,di piu,0.5
consentement,acquiescenza,0.5666666666666667
luxure,lussuria,0.33333333333333337
ciel,cielo,0.033333333333333326
relation,relazione,0.13333333333333341
parallele,parallelo,0.10370370370370374
sans pretention,senza pretese,0.33846153846153837
intermittent,intermittente,0.011111111111111072
specification,specifica,0.03703703703703687
monosyllabique,monosillabico,0.21025641025641018
superbe,superbo,0.13333333333333341
avocat,avvocato,0.04444444444444451
diligence,diligenza,0.19259259259259254
clair,chiaro,0.3866666666666667
amour,amore,0.18666666666666676
persuader,persuadere,0.014814814814814725
piete,pieta,0.18666666666666676
extrait,estratto,0.2761904761904762
influence,influenza,0.19259259259259254
recensement,censimento,0.19333333333333336
diffuser,diffondere,0.2416666666666668
fort,forte,0.033333333333333326
inne,innato,0.2666666666666667
sceptique,scettico,0.3416666666666667
conference,conferenza,0.17333333333333334
confiance,fiducia,0.5047619047619049
colosse,colosso,0.13333333333333341
main,mano,0.2333333333333334
sur une,nessuno,0.49523809523809526
proceder,procedere,0.016666666666666607
complet,pieno,0.5733333333333334
bien,bene,0.2333333333333334
science,scienza,0.24761904761904763
coercitif,coercitivo,0.11111111111111116
dense,denso,0.18666666666666676
pretentieux,pretenzioso,0.31515151515151507
exceptionnel,eccezionale,0.33939393939393947
probablement,probabilmente,0.08888888888888902
bonheur,felicita,0.7333333333333334
asymptomatique,asintomatico,0.29999999999999993
proposition,proposizione,0.09696969696969693
soigneusement,completamente,0.46153846153846156
preponderance,preponderanza,0.1333333333333332
ecurie,stabile,0.5777777777777777
specificite,specificita,0.08484848484848473
donc,percio,0.6833333333333333
iconique,iconico,0.2571428571428571
etre,essendo,0.5
recherche,ricerca,0.2952380952380952
raison,motivo,0.5888888888888889
plaisir,piacere,0.48571428571428577
fiel,fiele,0.033333333333333326
sous,sotto,0.45000000000000007
utopie,utopia,0.15555555555555556
revolutionnaire,rivoluzionario,0.27142857142857135
excellent,eccellente,0.11851851851851858
sain,sano,0.2333333333333334
comme ca,come questo,0.35
mot,parola,0.6888888888888889
avec,con,0.6000000000000001
detourneur de fonds,malversatore,0.538888888888889
appreciation,apprezzamento,0.29999999999999993
emotionnel,emotivo,0.16190476190476188
pecuniaire,pecuniario,0.17999999999999994
remboursement,rimborso,0.2833333333333332
indulgent,indulgente,0.014814814814814725
pertinent,pertinente,0.014814814814814725
reve,sognare ad occhi aperti,0.5833333333333333
introspectif,introspettivo,0.16111111111111098
authentique,genuino,0.5428571428571429
ruse,stratagemma,0.5666666666666667
fugace,fugace,0.0
nous,noi,0.33333333333333337
extase,estasi,0.3111111111111112
axiome,assioma,0.3222222222222223
jour,giorno,0.5
allusion,allusione,0.016666666666666607
chaos,caos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,ode,0.0
sororite,sorellanza,0.43333333333333346
tenu,tenue,0.033333333333333326
region sauvage,natura selvaggia,0.49523809523809537
primaute,primato,0.1523809523809525
humiliant,umiliante,0.10370370370370374
disgrace,disgrazia,0.22499999999999998
