pt,es,Alignment Score
contingente,cuota,0.45333333333333337
audaz,atrevido,0.5733333333333334
liberdade,libertad,0.13333333333333341
autoctone,autoctono,0.10370370370370374
refutar,refutar,0.0
pernostico,pernostico,0.0
nocivo,danino,0.4444444444444444
constante,constante,0.0
desnecessario,innecesario,0.17575757575757578
sol,sol,0.0
inspiracao,inspiracion,0.10666666666666669
isso,eso,0.33333333333333337
aleatoriamente,aleatoriamente,0.0
tudo,todo,0.2333333333333334
complexo,complejo,0.1166666666666667
sua,su,0.06666666666666676
proposito,objetivo,0.5416666666666667
agir,acto,0.6333333333333333
auspicioso,propicio,0.3416666666666667
tribulacao,tribulacion,0.10666666666666669
saudade,anhelo,0.5888888888888889
abnegado,desinteresado,0.3833333333333333
corja,buho,0.6666666666666667
estereotipo,estereotipo,0.0
maestria,maestria,0.0
arcabouco,estructura,0.5777777777777778
coincidencia,coincidencia,0.0
necessidade,necesidad,0.02962962962962956
conserto,reparar,0.6190476190476191
fim,fin,0.3111111111111111
foi,el era,0.9111111111111111
amigo,amigo,0.0
proveniente,originario,0.6066666666666667
mais,mas,0.04444444444444451
aquiescencia,aquiescencia,0.0
lascivia,lujuria,0.48571428571428565
ceu,cielo,0.37777777777777777
relacao,relacion,0.1523809523809525
paralelo,paralelo,0.0
despretensioso,no pretencioso,0.24761904761904763
intermitente,intermitente,0.0
especificacao,especificacion,0.08205128205128198
monossilabico,monosilabico,0.011111111111111072
soberba,magnifico,0.7333333333333334
preconizar,defensor,0.5583333333333333
diligencia,diligencia,0.0
limpido,claro,0.5466666666666666
amor,amar,0.2333333333333334
persuadir,persuadir,0.0
piedade,piedad,0.022222222222222143
excerto,extracto,0.25714285714285723
influencia,influencia,0.0
censo,censo,0.0
difuso,difuso,0.0
forte,fuerte,0.19999999999999996
inato,innato,0.026666666666666727
cetico,esceptico,0.05555555555555558
conferencia,conferencia,0.0
confianca,confianza,0.10370370370370374
colosso,coloso,0.022222222222222143
mao,mano,0.04444444444444451
num,en uno,0.4222222222222223
proceder,proceder,0.0
plena,lleno,0.3733333333333334
bem,bien,0.3555555555555556
ciencia,ciencia,0.0
coercitivo,coactivo,0.1416666666666666
denso,denso,0.0
pretensioso,pretencioso,0.08484848484848484
excepcional,excepcional,0.0
provavelmente,probablemente,0.2102564102564103
alegria,felicidad,0.5238095238095238
assintomatico,asintomatico,0.011111111111111072
proposicao,proposicion,0.10666666666666669
minuciosamente,minuciosamente,0.0
preponderancia,preponderancia,0.0
estavel,estable,0.2571428571428571
especificidade,especificidad,0.01025641025641022
portanto,por lo tanto,0.04166666666666663
iconico,iconico,0.0
sendo,ser,0.3555555555555556
buscar,buscar,0.0
razao,razon,0.18666666666666676
prazer,placer,0.3111111111111111
fel,hiel,0.33333333333333337
sob,bajo,0.6000000000000001
utopia,utopia,0.0
revolucionario,revolucionario,0.0
eximio,excelente,0.5888888888888889
salutar,sano,0.4833333333333334
assim,asi,0.08888888888888902
vocabulo,palabra,0.6190476190476191
com,con,0.3111111111111111
estelionatario,desfalcador,0.49696969696969706
apreco,apreciacion,0.07777777777777772
emotivo,emocional,0.2857142857142857
pecuniaria,pecuniario,0.09333333333333327
ressarcimento,reembolso,0.48888888888888904
indulgente,indulgente,0.0
pertinente,importante,0.3533333333333334
devaneio,ensueno,0.4
introspectivo,introspectivo,0.0
genuino,genuino,0.0
ardil,ardid,0.18666666666666676
fugaz,fugaz,0.0
nos,a nosotros,0.20000000000000007
extase,extasis,0.16666666666666663
axioma,axioma,0.0
dia,dia,0.0
alusao,alusion,0.1777777777777778
caos,caos,0.0
disciplina,disciplina,0.0
ode,oda,0.3111111111111111
sororidade,hermandad de mujeres,0.5066666666666668
tenue,tenue,0.0
ermo,desierto,0.31666666666666676
primazia,primacia,0.1166666666666667
desumilde,degradante,0.4740740740740741
desgraca,desgracia,0.016666666666666607
