es,fr,Alignment Score
cuota,quota,0.18666666666666676
atrevido,audacieux,0.6416666666666666
libertad,liberte,0.1428571428571429
autoctono,autochtone,0.11851851851851858
refutar,refuter,0.13333333333333341
pernostico,pernostique,0.17999999999999994
danino,nocif,0.52
constante,constante,0.0
innecesario,inutile,0.523809523809524
sol,soleil,0.08888888888888902
inspiracion,inspiration,0.08484848484848484
eso,que,0.5777777777777777
aleatoriamente,au hasard,0.6074074074074074
todo,tous,0.43333333333333335
complejo,complexe,0.21666666666666667
su,ton,0.9
objetivo,but,0.4666666666666667
acto,acte,0.2333333333333334
propicio,de bon augure,0.7666666666666667
tribulacion,tribulations,0.09696969696969693
anhelo,desir,0.7066666666666668
desinteresado,desinteresse,0.1499999999999999
buho,hibou,0.4666666666666667
estereotipo,stereotype,0.19999999999999996
maestria,la maitrise,0.3666666666666667
estructura,cadre,0.5866666666666667
coincidencia,coincidence,0.09090909090909083
necesidad,besoin,0.48888888888888893
reparar,reparation,0.16190476190476188
fin,fin,0.0
el era,il etait,0.34444444444444455
amigo,ami,0.06666666666666687
originario,originaire,0.17999999999999994
mas,plus,0.6000000000000001
aquiescencia,consentement,0.6222222222222222
lujuria,luxure,0.3222222222222223
cielo,ciel,0.033333333333333326
relacion,relation,0.1166666666666667
paralelo,parallele,0.13333333333333341
no pretencioso,sans pretention,0.2666666666666666
intermitente,intermittent,0.07777777777777772
especificacion,specification,0.08205128205128198
monosilabico,monosyllabique,0.23333333333333317
magnifico,superbe,0.8380952380952381
defensor,avocat,0.7333333333333334
diligencia,diligence,0.11111111111111116
claro,clair,0.18666666666666676
amar,amour,0.25
persuadir,persuader,0.10370370370370374
piedad,piete,0.36
extracto,extrait,0.1523809523809525
influencia,influence,0.11111111111111116
censo,recensement,0.28
difuso,diffuser,0.18888888888888888
fuerte,fort,0.2833333333333333
innato,inne,0.2666666666666667
esceptico,sceptique,0.28888888888888875
conferencia,conference,0.09999999999999987
confianza,confiance,0.19259259259259254
coloso,colosse,0.16666666666666663
mano,main,0.2333333333333334
en uno,sur une,0.4555555555555556
proceder,proceder,0.0
lleno,complet,0.56
bien,bien,0.0
ciencia,science,0.2571428571428571
coactivo,coercitif,0.3500000000000001
denso,dense,0.18666666666666676
pretencioso,pretentieux,0.31515151515151507
excepcional,exceptionnel,0.17575757575757578
probablemente,probablement,0.011111111111111072
felicidad,bonheur,0.7428571428571429
asintomatico,asymptomatique,0.29999999999999993
proposicion,proposition,0.08484848484848484
minuciosamente,soigneusement,0.3538461538461539
preponderancia,preponderance,0.07692307692307687
estable,ecurie,0.5666666666666667
especificidad,specificite,0.17575757575757556
por lo tanto,donc,0.6166666666666667
iconico,iconique,0.2571428571428571
ser,etre,0.3555555555555556
buscar,recherche,0.6222222222222222
razon,raison,0.19999999999999996
placer,plaisir,0.30000000000000016
hiel,fiel,0.2333333333333334
bajo,sous,0.6500000000000001
utopia,utopie,0.15555555555555556
revolucionario,revolutionnaire,0.2047619047619046
excelente,excellent,0.10370370370370374
sano,sain,0.2333333333333334
asi,comme ca,0.6888888888888889
palabra,mot,0.9333333333333333
con,avec,0.6000000000000001
desfalcador,detourneur de fonds,0.5818181818181819
apreciacion,appreciation,0.09696969696969704
emocional,emotionnel,0.2148148148148148
pecuniario,pecuniaire,0.17999999999999994
reembolso,remboursement,0.33333333333333337
indulgente,indulgent,0.014814814814814725
importante,pertinent,0.40740740740740744
ensueno,reve,0.5166666666666666
introspectivo,introspectif,0.08333333333333337
genuino,authentique,0.5428571428571429
ardid,ruse,0.6666666666666667
fugaz,fugace,0.19999999999999996
a nosotros,nous,0.35
extasis,extase,0.16666666666666663
axioma,axiome,0.15555555555555556
dia,jour,0.8666666666666667
alusion,allusion,0.01904761904761898
caos,chaos,0.033333333333333326
disciplina,discipline,0.09333333333333327
oda,ode,0.3111111111111111
hermandad de mujeres,sororite,0.6499999999999999
tenue,tenu,0.033333333333333326
desierto,region sauvage,0.6000000000000001
primacia,primaute,0.31666666666666654
degradante,humiliant,0.562962962962963
desgracia,disgrace,0.2416666666666667
