gl,ro,Alignment Score
cota,cota,0.0
atrevido,indraznet,0.6333333333333333
liberdade,libertate,0.20740740740740748
autoctona,autohton,0.13333333333333341
refutar,respinge,0.6
pernostico,pernostic,0.014814814814814725
prexudicial,daunatoare,0.6666666666666667
constante,constant,0.016666666666666607
innecesario,inutil,0.5
sol,soare,0.3555555555555556
inspiracion,inspiratie,0.19333333333333336
iso,acea,0.8666666666666667
aleatoriamente,la intamplare,0.4666666666666668
todos,toate,0.5066666666666667
complexo,complex,0.01904761904761898
teu,ta,0.5
proposito,scop,0.5333333333333334
act,act,0.0
auspicioso,de bun augur,0.6733333333333333
tribulacion,necazul,0.638095238095238
saudade,dor,0.6888888888888889
desinteresado,altruista,0.5259259259259259
curuxa,bufnita,0.5888888888888889
estereotipo,stereotip,0.02962962962962956
mestria,maiestrie,0.16190476190476188
marco,cadru,0.5466666666666666
coincidencia,coincidenta,0.09090909090909083
necesidade,nevoie,0.34444444444444455
reparacion,reparatie,0.2148148148148148
fin,sfarsit,0.4444444444444444
foi,el a fost,0.4666666666666667
amigo,prieten,0.72
orixinaria,originara,0.11851851851851858
mais,mai mult,0.30000000000000016
aquiescencia,incuviintare,0.49444444444444446
luxuria,pofta,0.6933333333333334
ceo,cer,0.3111111111111111
relacion,relatie,0.2761904761904762
paralelo,paralel,0.01904761904761898
sen pretensions,modest,0.6666666666666667
intermitente,intermitent,0.012121212121212088
especificacion,specificatie,0.17222222222222205
monosilabo,monosilabic,0.09999999999999987
xenial,superb,0.7111111111111111
avogado,avocat,0.3222222222222223
dilixencia,diligenta,0.2148148148148148
claro,clar,0.033333333333333326
amor,dragoste,0.55
persuadir,convinge,0.7333333333333334
piedade,pietate,0.2666666666666667
extracto,extras,0.1777777777777777
influencia,influenta,0.11111111111111116
censo,recensamant,0.28
difusa,difuz,0.19999999999999996
forte,puternic,0.56
innato,innascut,0.1777777777777778
esceptico,sceptic,0.03809523809523818
conferencia,conferinta,0.17999999999999994
confiar,incredere,0.6190476190476191
coloso,colos,0.026666666666666727
man,mana,0.04444444444444451
nun,pe unu,0.37777777777777777
proceder,continua,0.7250000000000001
cheo,deplin,0.7
bo,bun,0.5
ciencia,stiinta,0.49523809523809526
coercitivo,coercitiv,0.014814814814814725
densa,dens,0.033333333333333326
pretencioso,pretentios,0.10666666666666669
excepcional,exceptional,0.08484848484848484
probablemente,probabil,0.15833333333333321
felicidade,fericire,0.25
asintomatico,asimptomatica,0.16111111111111098
proposicion,propozitie,0.28666666666666674
a fondo,temeinic,0.7333333333333334
preponderancia,preponderenta,0.14871794871794863
estable,grajd,0.72
especificidade,specificitate,0.15384615384615363
polo tanto,prin urmare,0.6066666666666667
iconico,simbolic,0.4095238095238096
sendo,fiind,0.52
buscar,cautare,0.4444444444444444
razon,motiv,0.6933333333333334
pracer,placere,0.1777777777777778
fel,fiere,0.3555555555555555
baixo,sub,0.6222222222222222
utopia,utopie,0.15555555555555556
revolucionario,revolutionar,0.09444444444444444
excelente,excelent,0.016666666666666607
saudable,sanatos,0.5047619047619049
como isto,ca aceasta,0.49629629629629635
palabra,cuvant,0.7111111111111111
con,cu,0.5
malversador,delapidator,0.4666666666666667
aprecio,apreciere,0.1523809523809524
emocional,emotional,0.10370370370370374
pecuniario,pecuniara,0.11111111111111116
reembolso,restituire,0.5555555555555556
indulxente,indulgent,0.11851851851851858
relevantes,relevante,0.014814814814814725
sonar despierto,visarea cu ochii deschisi,0.4444444444444444
introspectivo,introspectiv,0.011111111111111072
xenuino,autentic,0.5238095238095238
artimana,siretlic,0.55
fugaz,trecatoare,0.76
nos,s.u.a,0.6222222222222222
extase,extaz,0.19999999999999996
axioma,axioma,0.0
dia,zi,0.5333333333333334
alusion,aluzie,0.3222222222222223
caos,haos,0.2333333333333334
disciplina,disciplina,0.0
oda,oda,0.0
irmandade,sorority,0.7333333333333334
tenue,tenue,0.0
deserto,pustie,0.5888888888888889
primacia,primatul,0.31666666666666654
degradante,injositoare,0.5933333333333334
deshonra,rusine,0.6222222222222222
