es,ro,Alignment Score
cuota,cota,0.033333333333333326
atrevido,indraznet,0.6333333333333333
libertad,libertate,0.125
autoctono,autohton,0.13333333333333341
refutar,respinge,0.6
pernostico,pernostic,0.014814814814814725
danino,daunatoare,0.3555555555555556
constante,constant,0.016666666666666607
innecesario,inutil,0.5
sol,soare,0.3555555555555556
inspiracion,inspiratie,0.19333333333333336
eso,acea,0.6222222222222222
aleatoriamente,la intamplare,0.4666666666666668
todo,toate,0.45000000000000007
complejo,complex,0.1428571428571429
su,ta,0.8666666666666667
objetivo,scop,0.7166666666666668
acto,act,0.04444444444444451
propicio,de bun augur,0.7583333333333333
tribulacion,necazul,0.638095238095238
anhelo,dor,0.6666666666666667
desinteresado,altruista,0.5259259259259259
buho,bufnita,0.4833333333333334
estereotipo,stereotip,0.02962962962962956
maestria,maiestrie,0.13333333333333341
estructura,cadru,0.5866666666666667
coincidencia,coincidenta,0.09090909090909083
necesidad,nevoie,0.4666666666666668
reparar,reparatie,0.1523809523809524
fin,sfarsit,0.4444444444444444
el era,el a fost,0.3222222222222223
amigo,prieten,0.72
originario,originara,0.11111111111111116
mas,mai mult,0.4222222222222223
aquiescencia,incuviintare,0.49444444444444446
lujuria,pofta,0.6933333333333334
cielo,cer,0.37777777777777777
relacion,relatie,0.2761904761904762
paralelo,paralel,0.01904761904761898
no pretencioso,modest,0.5555555555555556
intermitente,intermitent,0.012121212121212088
especificacion,specificatie,0.17222222222222205
monosilabico,monosilabic,0.012121212121212088
magnifico,superb,0.8555555555555556
defensor,avocat,0.7333333333333334
diligencia,diligenta,0.11111111111111116
claro,clar,0.033333333333333326
amar,dragoste,0.7166666666666668
persuadir,convinge,0.7333333333333334
piedad,pietate,0.3222222222222223
extracto,extras,0.1777777777777777
influencia,influenta,0.11111111111111116
censo,recensamant,0.28
difuso,difuz,0.19999999999999996
fuerte,puternic,0.4666666666666668
innato,innascut,0.1777777777777778
esceptico,sceptic,0.03809523809523818
conferencia,conferinta,0.17999999999999994
confianza,incredere,0.6518518518518519
coloso,colos,0.026666666666666727
mano,mana,0.2333333333333334
en uno,pe unu,0.3111111111111112
proceder,continua,0.7250000000000001
lleno,deplin,0.5466666666666666
bien,bun,0.33333333333333337
ciencia,stiinta,0.49523809523809526
coactivo,coercitiv,0.2416666666666667
denso,dens,0.033333333333333326
pretencioso,pretentios,0.10666666666666669
excepcional,exceptional,0.08484848484848484
probablemente,probabil,0.15833333333333321
felicidad,fericire,0.3416666666666667
asintomatico,asimptomatica,0.16111111111111098
proposicion,propozitie,0.28666666666666674
minuciosamente,temeinic,0.4916666666666668
preponderancia,preponderenta,0.14871794871794863
estable,grajd,0.72
especificidad,specificitate,0.21025641025641006
por lo tanto,prin urmare,0.5515151515151515
iconico,simbolic,0.4095238095238096
ser,fiind,0.8888888888888888
buscar,cautare,0.4444444444444444
razon,motiv,0.6933333333333334
placer,placere,0.022222222222222143
hiel,fiere,0.4833333333333334
bajo,sub,0.6000000000000001
utopia,utopie,0.15555555555555556
revolucionario,revolutionar,0.09444444444444444
excelente,excelent,0.016666666666666607
sano,sanatos,0.08333333333333337
asi,ca aceasta,0.48888888888888893
palabra,cuvant,0.7111111111111111
con,cu,0.5
desfalcador,delapidator,0.3151515151515152
apreciacion,apreciere,0.29629629629629617
emocional,emotional,0.10370370370370374
pecuniario,pecuniara,0.11111111111111116
reembolso,restituire,0.5555555555555556
indulgente,indulgent,0.014814814814814725
importante,relevante,0.3851851851851852
ensueno,visarea cu ochii deschisi,0.6857142857142857
introspectivo,introspectiv,0.011111111111111072
genuino,autentic,0.5238095238095238
ardid,siretlic,0.6000000000000001
fugaz,trecatoare,0.76
a nosotros,s.u.a,0.7333333333333334
extasis,extaz,0.21333333333333337
axioma,axioma,0.0
dia,zi,0.5333333333333334
alusion,aluzie,0.3222222222222223
caos,haos,0.2333333333333334
disciplina,disciplina,0.0
oda,oda,0.0
hermandad de mujeres,sorority,0.75
tenue,tenue,0.0
desierto,pustie,0.4666666666666667
primacia,primatul,0.31666666666666654
degradante,injositoare,0.5933333333333334
desgracia,rusine,0.6222222222222222
