fr,ro,Alignment Score
quota,cota,0.25
audacieux,indraznet,0.5851851851851853
liberte,libertate,0.028571428571428692
autochtone,autohton,0.033333333333333326
refuter,respinge,0.49523809523809526
pernostique,pernostic,0.11851851851851847
nocif,daunatoare,0.6
constante,constant,0.016666666666666607
inutile,inutil,0.022222222222222143
soleil,soare,0.3733333333333334
inspiration,inspiratie,0.09999999999999987
que,acea,0.6222222222222222
au hasard,la intamplare,0.4444444444444444
tous,toate,0.45000000000000007
complexe,complex,0.01904761904761898
ton,ta,0.5
but,scop,0.8666666666666667
acte,act,0.04444444444444451
de bon augure,de bun augur,0.08888888888888902
tribulations,necazul,0.6476190476190476
desir,dor,0.3555555555555556
desinteresse,altruista,0.6074074074074074
hibou,bufnita,0.5466666666666666
stereotype,stereotip,0.11851851851851858
la maitrise,maiestrie,0.2148148148148148
cadre,cadru,0.18666666666666676
coincidence,coincidenta,0.15757575757575748
besoin,nevoie,0.4666666666666667
reparation,reparatie,0.11111111111111116
fin,sfarsit,0.4444444444444444
il etait,el a fost,0.45000000000000007
ami,prieten,0.6888888888888889
originaire,originara,0.11851851851851858
plus,mai mult,0.7333333333333334
consentement,incuviintare,0.5611111111111111
luxure,pofta,0.8400000000000001
ciel,cer,0.3555555555555556
relation,relatie,0.1428571428571429
parallele,paralel,0.03809523809523818
sans pretention,modest,0.6666666666666667
intermittent,intermitent,0.012121212121212088
specification,specificatie,0.08333333333333337
monosyllabique,monosilabic,0.18787878787878776
superbe,superb,0.022222222222222143
avocat,avocat,0.0
diligence,diligenta,0.19259259259259254
clair,clar,0.033333333333333326
amour,dragoste,0.5866666666666667
persuader,convinge,0.7333333333333334
piete,pietate,0.04000000000000015
extrait,extras,0.16666666666666663
influence,influenta,0.19259259259259254
recensement,recensamant,0.1696969696969698
diffuser,difuz,0.2400000000000001
fort,puternic,0.7166666666666668
inne,innascut,0.30000000000000016
sceptique,sceptic,0.1523809523809524
conference,conferinta,0.2666666666666667
confiance,incredere,0.4666666666666667
colosse,colos,0.039999999999999925
main,mana,0.2333333333333334
sur une,pe unu,0.4555555555555556
proceder,continua,0.7250000000000001
complet,deplin,0.5888888888888889
bien,bun,0.33333333333333337
science,stiinta,0.5047619047619049
coercitif,coercitiv,0.10370370370370374
dense,dens,0.033333333333333326
pretentieux,pretentios,0.17999999999999994
exceptionnel,exceptional,0.09090909090909083
probablement,probabil,0.1499999999999999
bonheur,fericire,0.6190476190476191
asymptomatique,asimptomatica,0.21025641025641018
proposition,propozitie,0.19333333333333336
soigneusement,temeinic,0.4833333333333334
preponderance,preponderenta,0.19487179487179473
ecurie,grajd,0.7066666666666668
specificite,specificitate,0.018181818181817966
donc,prin urmare,0.7833333333333333
iconique,simbolic,0.5583333333333333
etre,fiind,0.85
recherche,cautare,0.5142857142857143
raison,motiv,0.7066666666666668
plaisir,placere,0.37142857142857144
fiel,fiere,0.25
sous,sub,0.3555555555555556
utopie,utopie,0.0
revolutionnaire,revolutionar,0.033333333333333215
excellent,excelent,0.016666666666666607
sain,sanatos,0.28333333333333355
comme ca,ca aceasta,0.45000000000000007
mot,cuvant,0.6444444444444444
avec,cu,0.5333333333333334
detourneur de fonds,delapidator,0.503030303030303
appreciation,apreciere,0.311111111111111
emotionnel,emotional,0.11111111111111116
pecuniaire,pecuniara,0.11851851851851858
remboursement,restituire,0.45333333333333337
indulgent,indulgent,0.0
pertinent,relevante,0.4740740740740741
reve,visarea cu ochii deschisi,0.6166666666666667
introspectif,introspectiv,0.07777777777777772
authentique,autentic,0.15000000000000002
ruse,siretlic,0.5166666666666666
fugace,trecatoare,0.6111111111111112
nous,s.u.a,0.6499999999999999
extase,extaz,0.19999999999999996
axiome,axioma,0.15555555555555556
jour,zi,0.9333333333333333
allusion,aluzie,0.34444444444444455
chaos,haos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,oda,0.3111111111111111
sororite,sorority,0.1166666666666667
tenu,tenue,0.033333333333333326
region sauvage,pustie,0.6555555555555556
primaute,primatul,0.22499999999999998
humiliant,injositoare,0.5777777777777778
disgrace,rusine,0.5888888888888889
