en,fr,Alignment Score
quota,quota,0.0
daring,audacieux,0.48888888888888893
freedom,liberte,0.6095238095238096
autochthonous,autochtone,0.11999999999999977
refute,refuter,0.022222222222222143
pernostic,pernostique,0.11851851851851847
harmful,nocif,0.7066666666666668
constant,constante,0.016666666666666607
unnecessary,inutile,0.6476190476190476
sun,soleil,0.6444444444444444
inspiration,inspiration,0.0
that,que,0.8666666666666667
randomly,au hasard,0.6333333333333333
all,tous,0.8666666666666667
complex,complexe,0.01904761904761898
your,ton,0.6444444444444445
purpose,but,0.7111111111111111
act,acte,0.04444444444444451
auspicious,de bon augure,0.6133333333333333
tribulation,tribulations,0.012121212121212088
longing,desir,0.72
selfless,desinteresse,0.375
owl,hibou,0.6444444444444445
stereotype,stereotype,0.0
mastery,la maitrise,0.4190476190476191
framework,cadre,0.5866666666666667
coincidence,coincidence,0.0
need,besoin,0.6666666666666667
repair,reparation,0.19999999999999984
end,fin,0.6000000000000001
he was,il etait,0.6222222222222222
friend,ami,0.6666666666666667
originating,originaire,0.18666666666666676
more,plus,0.8333333333333334
acquiescence,consentement,0.5055555555555556
lust,luxure,0.4666666666666667
sky,ciel,0.8666666666666667
relationship,relation,0.04166666666666663
parallel,parallele,0.016666666666666607
unpretentious,sans pretention,0.2205128205128205
intermittent,intermittent,0.0
specification,specification,0.0
monosyllabic,monosyllabique,0.0888888888888888
superb,superbe,0.022222222222222143
advocate,avocat,0.04444444444444451
diligence,diligence,0.0
clear,clair,0.18666666666666676
love,amour,0.6833333333333333
persuade,persuader,0.016666666666666607
piety,piete,0.18666666666666676
excerpt,extrait,0.38095238095238093
influence,influence,0.0
census,recensement,0.3555555555555556
diffuse,diffuser,0.01904761904761898
strong,fort,0.6833333333333333
innate,inne,0.050000000000000155
skeptical,sceptique,0.3851851851851852
conference,conference,0.0
trust,confiance,0.88
colossus,colosse,0.1428571428571429
hand,main,0.4666666666666667
on one,sur une,0.4555555555555555
proceed,proceder,0.1428571428571429
full,complet,0.7
good,bien,0.8333333333333334
science,science,0.0
coercive,coercitif,0.22499999999999998
dense,dense,0.0
pretentious,pretentieux,0.16969696969696968
exceptional,exceptionnel,0.09090909090909083
probably,probablement,0.1499999999999999
happiness,bonheur,0.6285714285714286
asymptomatic,asymptomatique,0.0888888888888888
proposition,proposition,0.0
thoroughly,soigneusement,0.6933333333333334
preponderance,preponderance,0.0
stable,ecurie,0.6888888888888889
specificity,specificite,0.08484848484848473
therefore,donc,0.75
iconic,iconique,0.1777777777777777
being,etre,0.6666666666666667
search,recherche,0.34444444444444455
reason,raison,0.15555555555555556
pleasure,plaisir,0.2857142857142858
gall,fiel,0.6333333333333333
under,sous,0.6666666666666667
utopia,utopie,0.15555555555555556
revolutionary,revolutionnaire,0.0923076923076922
excellent,excellent,0.0
wholesome,sain,0.7333333333333334
like this,comme ca,0.6416666666666666
word,mot,0.6444444444444445
with,avec,0.8333333333333334
embezzler,detourneur de fonds,0.6444444444444444
appreciation,appreciation,0.0
emotional,emotionnel,0.11111111111111116
pecuniary,pecuniaire,0.11851851851851858
refund,remboursement,0.40000000000000013
indulgent,indulgent,0.0
relevant,pertinent,0.43333333333333335
daydream,reve,0.5166666666666666
introspective,introspectif,0.08333333333333337
genuine,authentique,0.4190476190476191
ruse,ruse,0.0
fleeting,fugace,0.5888888888888888
us,nous,0.09999999999999998
ecstasy,extase,0.3222222222222223
axiom,axiome,0.026666666666666727
day,jour,0.8666666666666667
allusion,allusion,0.0
chaos,chaos,0.0
discipline,discipline,0.0
ode,ode,0.0
sorority,sororite,0.1166666666666667
tenuous,tenu,0.06666666666666676
wilderness,region sauvage,0.6133333333333333
primacy,primaute,0.2571428571428571
demeaning,humiliant,0.5777777777777777
disgrace,disgrace,0.0
