pt,gl,Alignment Score
contingente,cota,0.3666666666666668
audaz,atrevido,0.5733333333333334
liberdade,liberdade,0.0
autoctone,autoctona,0.10370370370370374
refutar,refutar,0.0
pernostico,pernostico,0.0
nocivo,prexudicial,0.6333333333333333
constante,constante,0.0
desnecessario,innecesario,0.17575757575757578
sol,sol,0.0
inspiracao,inspiracion,0.10666666666666669
isso,iso,0.04444444444444451
aleatoriamente,aleatoriamente,0.0
tudo,todos,0.2666666666666667
complexo,complexo,0.0
sua,teu,0.6000000000000001
proposito,proposito,0.0
agir,act,0.6000000000000001
auspicioso,auspicioso,0.0
tribulacao,tribulacion,0.10666666666666669
saudade,saudade,0.0
abnegado,desinteresado,0.3833333333333333
corja,curuxa,0.3866666666666667
estereotipo,estereotipo,0.0
maestria,mestria,0.01904761904761898
arcabouco,marco,0.2400000000000001
coincidencia,coincidencia,0.0
necessidade,necesidade,0.013333333333333308
conserto,reparacion,0.5416666666666667
fim,fin,0.3111111111111111
foi,foi,0.0
amigo,amigo,0.0
proveniente,orixinaria,0.6066666666666667
mais,mais,0.0
aquiescencia,aquiescencia,0.0
lascivia,luxuria,0.48571428571428565
ceu,ceo,0.3111111111111111
relacao,relacion,0.1523809523809525
paralelo,paralelo,0.0
despretensioso,sen pretensions,0.1952380952380951
intermitente,intermitente,0.0
especificacao,especificacion,0.08205128205128198
monossilabico,monosilabo,0.033333333333333215
soberba,xenial,0.6000000000000001
preconizar,avogado,0.6571428571428573
diligencia,dilixencia,0.09333333333333338
limpido,claro,0.5466666666666666
amor,amor,0.0
persuadir,persuadir,0.0
piedade,piedade,0.0
excerto,extracto,0.25714285714285723
influencia,influencia,0.0
censo,censo,0.0
difuso,difusa,0.15555555555555556
forte,forte,0.0
inato,innato,0.026666666666666727
cetico,esceptico,0.05555555555555558
conferencia,conferencia,0.0
confianca,confiar,0.1523809523809524
colosso,coloso,0.022222222222222143
mao,man,0.3111111111111111
num,nun,0.3111111111111111
proceder,proceder,0.0
plena,cheo,0.6833333333333333
bem,bo,0.5
ciencia,ciencia,0.0
coercitivo,coercitivo,0.0
denso,densa,0.18666666666666676
pretensioso,pretencioso,0.08484848484848484
excepcional,excepcional,0.0
provavelmente,probablemente,0.2102564102564103
alegria,felicidade,0.5333333333333334
assintomatico,asintomatico,0.011111111111111072
proposicao,proposicion,0.10666666666666669
minuciosamente,a fondo,0.6857142857142857
preponderancia,preponderancia,0.0
estavel,estable,0.2571428571428571
especificidade,especificidade,0.0
portanto,polo tanto,0.1333333333333333
iconico,iconico,0.0
sendo,sendo,0.0
buscar,buscar,0.0
razao,razon,0.18666666666666676
prazer,pracer,0.15555555555555556
fel,fel,0.0
sob,baixo,0.6222222222222222
utopia,utopia,0.0
revolucionario,revolucionario,0.0
eximio,excelente,0.5888888888888889
salutar,saudable,0.40000000000000013
assim,como isto,0.7333333333333334
vocabulo,palabra,0.6190476190476191
com,con,0.3111111111111111
estelionatario,malversador,0.5575757575757576
apreco,aprecio,0.022222222222222143
emotivo,emocional,0.2857142857142857
pecuniaria,pecuniario,0.09333333333333327
ressarcimento,reembolso,0.48888888888888904
indulgente,indulxente,0.09333333333333338
pertinente,relevantes,0.42666666666666664
devaneio,sonar despierto,0.4916666666666667
introspectivo,introspectivo,0.0
genuino,xenuino,0.13333333333333341
ardil,artimana,0.41333333333333344
fugaz,fugaz,0.0
nos,nos,0.0
extase,extase,0.0
axioma,axioma,0.0
dia,dia,0.0
alusao,alusion,0.1777777777777778
caos,caos,0.0
disciplina,disciplina,0.0
ode,oda,0.3111111111111111
sororidade,irmandade,0.37777777777777777
tenue,tenue,0.0
ermo,deserto,0.29999999999999993
primazia,primacia,0.1166666666666667
desumilde,degradante,0.4740740740740741
desgraca,deshonra,0.32500000000000007
