pt,en,es,fr,it,gl,ro
contingente,quota,cuota,quota,quota,cota,cota
audaz,daring,atrevido,audacieux,audace,atrevido,indraznet
liberdade,freedom,libertad,liberte,liberta,liberdade,libertate
autoctone,autochthonous,autoctono,autochtone,autoctono,autoctona,autohton
refutar,refute,refutar,refuter,confutare,refutar,respinge
pernostico,pernostic,pernostico,pernostique,pernostico,pernostico,pernostic
nocivo,harmful,danino,nocif,dannoso,prexudicial,daunatoare
constante,constant,constante,constante,costante,constante,constant
desnecessario,unnecessary,innecesario,inutile,non necessario,innecesario,inutil
sol,sun,sol,soleil,sole,sol,soare
inspiracao,inspiration,inspiracion,inspiration,ispirazione,inspiracion,inspiratie
isso,that,eso,que,quello,iso,acea
aleatoriamente,randomly,aleatoriamente,au hasard,a caso,aleatoriamente,la intamplare
tudo,all,todo,tous,tutto,todos,toate
complexo,complex,complejo,complexe,complesso,complexo,complex
sua,your,su,ton,tuo,teu,ta
proposito,purpose,objetivo,but,scopo,proposito,scop
agir,act,acto,acte,atto,act,act
auspicioso,auspicious,propicio,de bon augure,di buon auspicio,auspicioso,de bun augur
tribulacao,tribulation,tribulacion,tribulations,tribolazione,tribulacion,necazul
saudade,longing,anhelo,desir,desiderio,saudade,dor
abnegado,selfless,desinteresado,desinteresse,altruista,desinteresado,altruista
corja,owl,buho,hibou,gufo,curuxa,bufnita
estereotipo,stereotype,estereotipo,stereotype,stereotipo,estereotipo,stereotip
maestria,mastery,maestria,la maitrise,padronanza,mestria,maiestrie
arcabouco,framework,estructura,cadre,struttura,marco,cadru
coincidencia,coincidence,coincidencia,coincidence,coincidenza,coincidencia,coincidenta
necessidade,need,necesidad,besoin,bisogno,necesidade,nevoie
conserto,repair,reparar,reparation,riparazione,reparacion,reparatie
fim,end,fin,fin,fine,fin,sfarsit
foi,he was,el era,il etait,e stato,foi,el a fost
amigo,friend,amigo,ami,amico,amigo,prieten
proveniente,originating,originario,originaire,originario,orixinaria,originara
mais,more,mas,plus,di piu,mais,mai mult
aquiescencia,acquiescence,aquiescencia,consentement,acquiescenza,aquiescencia,incuviintare
lascivia,lust,lujuria,luxure,lussuria,luxuria,pofta
ceu,sky,cielo,ciel,cielo,ceo,cer
relacao,relationship,relacion,relation,relazione,relacion,relatie
paralelo,parallel,paralelo,parallele,parallelo,paralelo,paralel
despretensioso,unpretentious,no pretencioso,sans pretention,senza pretese,sen pretensions,modest
intermitente,intermittent,intermitente,intermittent,intermittente,intermitente,intermitent
especificacao,specification,especificacion,specification,specifica,especificacion,specificatie
monossilabico,monosyllabic,monosilabico,monosyllabique,monosillabico,monosilabo,monosilabic
soberba,superb,magnifico,superbe,superbo,xenial,superb
preconizar,advocate,defensor,avocat,avvocato,avogado,avocat
diligencia,diligence,diligencia,diligence,diligenza,dilixencia,diligenta
limpido,clear,claro,clair,chiaro,claro,clar
amor,love,amar,amour,amore,amor,dragoste
persuadir,persuade,persuadir,persuader,persuadere,persuadir,convinge
piedade,piety,piedad,piete,pieta,piedade,pietate
excerto,excerpt,extracto,extrait,estratto,extracto,extras
influencia,influence,influencia,influence,influenza,influencia,influenta
censo,census,censo,recensement,censimento,censo,recensamant
difuso,diffuse,difuso,diffuser,diffondere,difusa,difuz
forte,strong,fuerte,fort,forte,forte,puternic
inato,innate,innato,inne,innato,innato,innascut
cetico,skeptical,esceptico,sceptique,scettico,esceptico,sceptic
conferencia,conference,conferencia,conference,conferenza,conferencia,conferinta
confianca,trust,confianza,confiance,fiducia,confiar,incredere
colosso,colossus,coloso,colosse,colosso,coloso,colos
mao,hand,mano,main,mano,man,mana
