es,gl,Alignment Score
cuota,cota,0.033333333333333326
atrevido,atrevido,0.0
libertad,liberdade,0.13333333333333341
autoctono,autoctona,0.10370370370370374
refutar,refutar,0.0
pernostico,pernostico,0.0
danino,prexudicial,0.6333333333333333
constante,constante,0.0
innecesario,innecesario,0.0
sol,sol,0.0
inspiracion,inspiracion,0.0
eso,iso,0.3111111111111112
aleatoriamente,aleatoriamente,0.0
todo,todos,0.033333333333333326
complejo,complexo,0.1166666666666667
su,teu,0.5
objetivo,proposito,0.5416666666666667
acto,act,0.04444444444444451
propicio,auspicioso,0.3416666666666667
tribulacion,tribulacion,0.0
anhelo,saudade,0.5888888888888889
desinteresado,desinteresado,0.0
buho,curuxa,0.7
estereotipo,estereotipo,0.0
maestria,mestria,0.01904761904761898
estructura,marco,0.6133333333333333
coincidencia,coincidencia,0.0
necesidad,necesidade,0.014814814814814725
reparar,reparacion,0.16190476190476188
fin,fin,0.0
el era,foi,0.9111111111111111
amigo,amigo,0.0
originario,orixinaria,0.18666666666666676
mas,mais,0.04444444444444451
aquiescencia,aquiescencia,0.0
lujuria,luxuria,0.13333333333333341
cielo,ceo,0.08888888888888902
relacion,relacion,0.0
paralelo,paralelo,0.0
no pretencioso,sen pretensions,0.2047619047619046
intermitente,intermitente,0.0
especificacion,especificacion,0.0
monosilabico,monosilabo,0.019999999999999907
magnifico,xenial,0.6111111111111112
defensor,avogado,0.6095238095238096
diligencia,dilixencia,0.09333333333333338
claro,claro,0.0
amar,amor,0.2333333333333334
persuadir,persuadir,0.0
piedad,piedade,0.022222222222222143
extracto,extracto,0.0
influencia,influencia,0.0
censo,censo,0.0
difuso,difusa,0.15555555555555556
fuerte,forte,0.19999999999999996
innato,innato,0.0
esceptico,esceptico,0.0
conferencia,conferencia,0.0
confianza,confiar,0.1523809523809524
coloso,coloso,0.0
mano,man,0.04444444444444451
en uno,nun,0.13333333333333341
proceder,proceder,0.0
lleno,cheo,0.4666666666666667
bien,bo,0.5333333333333334
ciencia,ciencia,0.0
coactivo,coercitivo,0.1416666666666666
denso,densa,0.18666666666666676
pretencioso,pretencioso,0.0
excepcional,excepcional,0.0
probablemente,probablemente,0.0
felicidad,felicidade,0.014814814814814725
asintomatico,asintomatico,0.0
proposicion,proposicion,0.0
minuciosamente,a fondo,0.6857142857142857
preponderancia,preponderancia,0.0
estable,estable,0.0
especificidad,especificidade,0.01025641025641022
por lo tanto,polo tanto,0.020000000000000018
iconico,iconico,0.0
ser,sendo,0.3555555555555556
buscar,buscar,0.0
razon,razon,0.0
placer,pracer,0.15555555555555556
hiel,fel,0.33333333333333337
bajo,baixo,0.25
utopia,utopia,0.0
revolucionario,revolucionario,0.0
excelente,excelente,0.0
sano,saudable,0.5
asi,como isto,0.7333333333333334
palabra,palabra,0.0
con,con,0.0
desfalcador,malversador,0.38787878787878793
apreciacion,aprecio,0.05714285714285716
emocional,emocional,0.0
pecuniario,pecuniario,0.0
reembolso,reembolso,0.0
indulgente,indulxente,0.09333333333333338
importante,relevantes,0.42666666666666664
ensueno,sonar despierto,0.47619047619047616
introspectivo,introspectivo,0.0
genuino,xenuino,0.13333333333333341
ardid,artimana,0.41333333333333344
fugaz,fugaz,0.0
a nosotros,nos,0.20000000000000007
extasis,extase,0.16666666666666663
axioma,axioma,0.0
dia,dia,0.0
alusion,alusion,0.0
caos,caos,0.0
disciplina,disciplina,0.0
oda,oda,0.0
hermandad de mujeres,irmandade,0.19999999999999984
tenue,tenue,0.0
desierto,deserto,0.01904761904761898
primacia,primacia,0.0
degradante,degradante,0.0
desgracia,deshonra,0.33333333333333337
