fr,gl,Alignment Score
quota,cota,0.25
audacieux,atrevido,0.6416666666666666
liberte,liberdade,0.1523809523809524
autochtone,autoctona,0.11851851851851858
refuter,refutar,0.13333333333333341
pernostique,pernostico,0.17999999999999994
nocif,prexudicial,0.6133333333333333
constante,constante,0.0
inutile,innecesario,0.523809523809524
soleil,sol,0.08888888888888902
inspiration,inspiracion,0.08484848484848484
que,iso,0.8444444444444444
au hasard,aleatoriamente,0.6074074074074074
tous,todos,0.25
complexe,complexo,0.1166666666666667
ton,teu,0.5777777777777777
but,proposito,0.7333333333333334
acte,act,0.04444444444444451
de bon augure,auspicioso,0.6799999999999999
tribulations,tribulacion,0.09696969696969693
desir,saudade,0.5333333333333333
desinteresse,desinteresado,0.1499999999999999
hibou,curuxa,0.6933333333333334
stereotype,estereotipo,0.19999999999999996
la maitrise,mestria,0.4285714285714286
cadre,marco,0.5466666666666666
coincidence,coincidencia,0.09090909090909083
besoin,necesidade,0.5
reparation,reparacion,0.09333333333333338
fin,fin,0.0
il etait,foi,0.6888888888888889
ami,amigo,0.06666666666666687
originaire,orixinaria,0.27333333333333343
plus,mais,0.6333333333333333
consentement,aquiescencia,0.6222222222222222
luxure,luxuria,0.16666666666666663
ciel,ceo,0.3555555555555556
relation,relacion,0.1166666666666667
parallele,paralelo,0.13333333333333341
sans pretention,sen pretensions,0.18666666666666643
intermittent,intermitente,0.07777777777777772
specification,especificacion,0.08205128205128198
monosyllabique,monosilabo,0.21333333333333326
superbe,xenial,0.711111111111111
avocat,avogado,0.3222222222222223
diligence,dilixencia,0.2148148148148148
clair,claro,0.18666666666666676
amour,amor,0.033333333333333326
persuader,persuadir,0.10370370370370374
piete,piedade,0.21333333333333337
extrait,extracto,0.1523809523809525
influence,influencia,0.11111111111111116
recensement,censo,0.28
diffuser,difusa,0.18888888888888888
fort,forte,0.033333333333333326
inne,innato,0.2666666666666667
sceptique,esceptico,0.28888888888888875
conference,conferencia,0.09999999999999987
confiance,confiar,0.1523809523809524
colosse,coloso,0.16666666666666663
main,man,0.04444444444444451
sur une,nun,0.4222222222222223
proceder,proceder,0.0
complet,cheo,0.4833333333333334
bien,bo,0.5333333333333334
science,ciencia,0.2571428571428571
coercitif,coercitivo,0.11111111111111116
dense,densa,0.18666666666666676
pretentieux,pretencioso,0.31515151515151507
exceptionnel,excepcional,0.17575757575757578
probablement,probablemente,0.011111111111111072
bonheur,felicidade,0.7428571428571429
asymptomatique,asintomatico,0.29999999999999993
proposition,proposicion,0.08484848484848484
soigneusement,a fondo,0.6761904761904762
preponderance,preponderancia,0.07692307692307687
ecurie,estable,0.5666666666666667
specificite,especificidade,0.1090909090909089
donc,polo tanto,0.5833333333333333
iconique,iconico,0.2571428571428571
etre,sendo,0.6666666666666667
recherche,buscar,0.6222222222222222
raison,razon,0.19999999999999996
plaisir,pracer,0.4555555555555555
fiel,fel,0.04444444444444451
sous,baixo,0.6666666666666667
utopie,utopia,0.15555555555555556
revolutionnaire,revolucionario,0.2047619047619046
excellent,excelente,0.10370370370370374
sain,saudable,0.5
comme ca,como isto,0.44166666666666676
mot,palabra,0.9333333333333333
avec,con,0.6000000000000001
detourneur de fonds,malversador,0.6060606060606061
appreciation,aprecio,0.07619047619047625
emotionnel,emocional,0.2148148148148148
pecuniaire,pecuniario,0.17999999999999994
remboursement,reembolso,0.33333333333333337
indulgent,indulxente,0.11851851851851858
pertinent,relevantes,0.4814814814814815
reve,sonar despierto,0.4666666666666668
introspectif,introspectivo,0.08333333333333337
authentique,xenuino,0.5428571428571429
ruse,artimana,0.7166666666666668
fugace,fugaz,0.19999999999999996
nous,nos,0.04444444444444451
extase,extase,0.0
axiome,axioma,0.15555555555555556
jour,dia,0.8666666666666667
allusion,alusion,0.01904761904761898
chaos,caos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,oda,0.3111111111111111
sororite,irmandade,0.6333333333333333
tenu,tenue,0.033333333333333326
region sauvage,deserto,0.5714285714285714
primaute,primacia,0.31666666666666654
humiliant,degradante,0.562962962962963
disgrace,deshonra,0.44166666666666676
