it,gl,Alignment Score
convergenza,converxencia,0.17575757575757578
esporre,exponer,0.38095238095238104
causa,causa,0.0
brina,rime,0.4666666666666667
soccombere,sucumbir,0.375
preoccupazioni,preocupacions,0.15384615384615385
vicenda,vicisitude,0.39047619047619064
l'ho fatto,fixen,0.7466666666666667
peggiorativo,pexorativo,0.10666666666666669
pretesa,pretension,0.17142857142857149
ratificare,ratificar,0.014814814814814725
eccellenza,excelencia,0.27333333333333343
dirompente,perturbador,0.6
paradosso,paradoxo,0.125
tacito,tacito,0.0
paio,par,0.33333333333333337
astuzia,astucia,0.13333333333333341
belligerante,belixerante,0.09696969696969704
inoltre,ademais,0.7142857142857143
re,rei,0.06666666666666676
versatilita,versatilidade,0.10303030303030292
sopravvalutare,sobreestimar,0.4444444444444444
tiene,aguanta,0.7066666666666667
affabile,afable,0.04444444444444451
etica,etica,0.0
maleducato,groseiro,0.6499999999999999
consonante,consoante,0.014814814814814725
esasperato,exacerbado,0.3666666666666667
desiderio,desexo,0.20000000000000007
intransigente,intransixente,0.07179487179487176
sotterfugio,subterfuxio,0.24242424242424243
congruenza,congruencia,0.09999999999999998
estroverso,extrovertido,0.19999999999999996
prudenza,prudencia,0.125
icona,icona,0.0
cultura,cultura,0.0
collegamento,ligazon,0.4476190476190476
sessione,sesion,0.04444444444444451
volere,vontade,0.43333333333333335
pure,tamen,0.6666666666666667
affetto,carino,0.5777777777777777
plausibilita,verosimilitude,0.4444444444444444
dritto,recto,0.3733333333333334
a casaccio,ao azar,0.4285714285714287
arrogante,arrogante,0.0
precedente,precedente,0.0
rettifica,rectificacion,0.1407407407407406
oziare,ocioso,0.5777777777777777
quantita di moto,impulso,0.5809523809523809
aggiuntivo,adicional,0.49629629629629635
banale,trivial,0.5777777777777777
contemporaneo,contemporaneo,0.0
sempreverde,perenne,0.4190476190476191
circostanza,circunstancia,0.18181818181818177
intransigenza,intransixencia,0.14871794871794863
posteriormente,posteriormente,0.0
quintessenza,quintaesencia,0.16111111111111098
prematuro,intempestivo,0.5111111111111111
eterogeneo,heteroxeneo,0.1066666666666668
inferenza,conclusion,0.6518518518518519
leggere,ler,0.1333333333333333
tenace,tenaz,0.19999999999999996
qui,aqui,0.04444444444444451
resistenza,resistencia,0.09999999999999998
cosi,asi,0.33333333333333337
preliminare,preliminar,0.013333333333333308
cordialita,cordialidade,0.11333333333333329
inconveniente,inconveniente,0.0
utile,util,0.033333333333333326
persistenza,persistencia,0.09090909090909083
origine,orixe,0.21333333333333337
virtu,virtude,0.039999999999999925
gratitudine,gratitude,0.022222222222222254
richiesta,demanda,0.6285714285714286
imprevedibile,impredicible,0.15555555555555556
vantarsi,presumir,0.5416666666666667
socio-ambientale,socioambientais,0.12444444444444436
lussuria,luxuria,0.1428571428571429
costa,costa,0.0
pienezza,plenitude,0.44166666666666676
poi,enton,0.6666666666666667
multiforme,polifacetico,0.5266666666666666
vedere,ver,0.11111111111111116
fatto,feito,0.34666666666666657
disgusto,noxo,0.7
attraverso,via,0.7333333333333334
riscattare,para redimir,0.52
istigare,instigar,0.1166666666666667
concessione,concesion,0.02962962962962956
respiro,alento,0.5888888888888889
onore,honra,0.3733333333333334
comune,comun,0.026666666666666727
mascherato,disfrazado,0.52
prima,antes,0.6666666666666667
mondo,mundo,0.18666666666666676
cucire,coser,0.5333333333333333
urgente,urxente,0.13333333333333341
epifania,epifania,0.0
ostile,hostis,0.30000000000000016
ansioso,ansioso,0.0
raffreddamento,arrefriamento,0.27179487179487183
aspetto,aspecto,0.13333333333333341
bramare,anhelar,0.49523809523809526
indulgenza,indulxencia,0.19333333333333336
possesso,posesion,0.2333333333333334
nesso,nexo,0.25
perseveranza,perseveranza,0.0
comprensione,comprension,0.012121212121212088
senza,sen,0.06666666666666687
etereo,etereo,0.0
benedetto,bendito,0.161904761904762
consiste,consiste,0.0
eterosessuale,heterosexual,0.16111111111111098
superstizioso,supersticioso,0.07179487179487176
lussuria,luxuria,0.1428571428571429
credibilita,credibilidade,0.10303030303030292
sintetizzare,sintetizar,0.026666666666666616
definire,definir,0.01904761904761898
ecco,velai,0.6666666666666667
