en,es,Alignment Score
convergence,convergencia,0.09090909090909083
expose,exponer,0.1777777777777778
cause,causa,0.18666666666666676
rime,escarcha,0.7
succumb,sucumbir,0.1428571428571429
concerns,preocupaciones,0.3833333333333333
vicissitude,vicisitud,0.02962962962962956
i did,hice,0.6666666666666667
pejorative,peyorativo,0.18666666666666676
pretension,pretension,0.0
ratify,ratificar,0.18888888888888877
excellence,excelencia,0.17999999999999994
disruptive,disruptivo,0.09333333333333327
paradox,paradoja,0.1428571428571429
tacit,tacito,0.026666666666666727
pair,par,0.04444444444444451
cunning,astuto,0.7222222222222222
belligerent,beligerante,0.1696969696969698
in addition,ademas,0.6222222222222222
king,rey,0.8666666666666667
versatility,versatilidad,0.16363636363636347
overestimate,sobreestimar,0.30000000000000004
holds,sostiene,0.5733333333333333
affable,afable,0.022222222222222143
ethics,etica,0.21333333333333337
rude,brusco,0.4833333333333334
consonant,consonante,0.014814814814814725
exacerbated,exacerbado,0.09999999999999998
desire,deseo,0.19999999999999996
uncompromising,intransigente,0.5384615384615384
subterfuge,subterfugio,0.09999999999999987
congruence,congruencia,0.09999999999999987
extroverted,extrovertido,0.09696969696969682
prudence,prudencia,0.125
icon,icono,0.033333333333333326
culture,cultura,0.13333333333333341
link,enlace,0.6833333333333333
session,sesion,0.022222222222222143
will,voluntad,0.7166666666666668
too,tambien,0.6666666666666667
affection,afecto,0.06666666666666687
plausibility,plausibilidad,0.1499999999999999
straight,derecho,0.638095238095238
haphazardly,al azar,0.3047619047619049
arrogant,arrogante,0.016666666666666607
precedent,precedente,0.014814814814814725
rectification,rectificacion,0.07179487179487176
idle,inactivo,0.7
momentum,impulso,0.6095238095238096
additional,adicional,0.11851851851851858
trivial,trivial,0.0
contemporary,contemporaneo,0.1499999999999999
evergreen,hojas perennes,0.5111111111111111
circumstance,circunstancia,0.16111111111111098
intransigence,intransigencia,0.07692307692307687
posteriorly,posteriormente,0.17575757575757556
quintessence,quintaesencia,0.16111111111111098
untimely,prematuro,0.7333333333333334
heterogeneous,heterogeneo,0.018181818181817966
inference,inferencia,0.11111111111111116
to read,leer,0.7
tenacious,tenaz,0.2400000000000001
here,aqui,0.8333333333333334
resistance,resistencia,0.19333333333333336
so,entonces,0.6666666666666667
preliminary,preliminar,0.013333333333333308
cordiality,cordialidad,0.17999999999999994
inconvenience,inconveniencia,0.07692307692307687
helpful,util,0.4833333333333333
persistence,persistencia,0.09090909090909083
origin,origen,0.15555555555555556
virtue,virtud,0.15555555555555556
gratitude,gratitud,0.016666666666666607
demand,demanda,0.022222222222222143
unpredictable,impredecible,0.2944444444444445
boast,presumir,0.7333333333333334
socio-environmental,socioambiental,0.20952380952380945
lust,lujuria,0.4833333333333334
shore,costa,0.6799999999999999
fullness,plenitud,0.6416666666666666
then,entonces,0.5
multifaceted,multifacetico,0.1499999999999999
see,ver,0.6000000000000001
fact,hecho,0.6833333333333333
disgust,asco,0.7166666666666668
via,a traves de,0.7555555555555555
to redeem,para redimir,0.41481481481481486
instigate,instigar,0.125
concession,concesion,0.014814814814814725
breath,aliento,0.5888888888888889
honor,honor,0.0
common,comun,0.19999999999999996
disguised,disfrazado,0.4740740740740742
before,antes,0.6933333333333334
world,mundo,0.6799999999999999
sew,coser,0.37777777777777777
urgent,urgente,0.022222222222222143
epiphany,epifania,0.33333333333333337
hostile,hostil,0.022222222222222143
anxious,ansioso,0.2666666666666666
cooling,enfriamiento,0.6666666666666667
aspect,aspecto,0.022222222222222143
to crave,ansiar,0.7222222222222222
indulgence,indulgencia,0.09999999999999987
possession,posesion,0.033333333333333326
nexus,nexo,0.25
perseverance,perserverancia,0.09444444444444422
understanding,comprension,0.5575757575757576
without,sin,0.7111111111111111
ethereal,etereo,0.18888888888888888
blessed,bienaventurado,0.4666666666666667
it consists,consiste,0.15000000000000002
heterosexual,heterosexual,0.0
superstitious,supersticioso,0.1435897435897434
lust,lujuria,0.4833333333333334
credibility,credibilidad,0.16363636363636347
synthesize,sintetizar,0.3666666666666667
define,definir,0.16666666666666663
behold,mirad,0.6799999999999999
