fr,gl,Alignment Score
convergence,converxencia,0.17575757575757567
exposer,exponer,0.13333333333333341
cause,causa,0.18666666666666676
rime,rime,0.0
succomber,sucumbir,0.2416666666666667
preoccupations,preocupacions,0.08205128205128209
vicissitudes,vicisitude,0.026666666666666616
je l'ai fait,fixen,0.6266666666666667
pejoratif,pexorativo,0.2148148148148148
pretention,pretension,0.09333333333333338
ratifier,ratificar,0.125
excellence,excelencia,0.17999999999999994
perturbateur,perturbador,0.16363636363636358
paradoxe,paradoxo,0.1166666666666667
tacite,tacito,0.15555555555555556
paire,par,0.08888888888888902
ruse,astucia,0.7166666666666668
belligerant,belixerante,0.1696969696969698
en outre,ademais,0.7238095238095238
roi,rei,0.3111111111111112
polyvalence,versatilidade,0.5515151515151515
surestimer,sobreestimar,0.20666666666666678
tient,aguanta,0.5466666666666666
affable,afable,0.022222222222222143
ethique,etica,0.3866666666666667
grossier,groseiro,0.2250000000000001
consonne,consoante,0.13333333333333341
exacerbe,exacerbado,0.1333333333333333
desir,desexo,0.3600000000000001
intransigeant,intransixente,0.1435897435897434
subterfuge,subterfuxio,0.17999999999999994
congruence,congruencia,0.09999999999999987
extraverti,extrovertido,0.11333333333333329
prudence,prudencia,0.125
icone,icona,0.18666666666666676
culture,cultura,0.13333333333333341
lien,ligazon,0.2833333333333333
session,sesion,0.022222222222222143
volonte,vontade,0.24761904761904763
aussi,tamen,0.6799999999999999
affection,carino,0.48888888888888893
plausibilite,verosimilitude,0.37222222222222223
droit,recto,0.52
au hasard,ao azar,0.3047619047619048
arrogant,arrogante,0.016666666666666607
precedent,precedente,0.014814814814814725
rectification,rectificacion,0.07179487179487176
inactif,ocioso,0.6000000000000001
elan,impulso,0.7166666666666668
supplementaire,adicional,0.6888888888888889
banal,trivial,0.5333333333333333
contemporain,contemporaneo,0.08333333333333337
a feuilles persistantes,perenne,0.4285714285714286
circonstance,circunstancia,0.16111111111111098
intransigeance,intransixencia,0.1952380952380951
posterieurement,posteriormente,0.13809523809523805
quintessence,quintaesencia,0.16111111111111098
premature,intempestivo,0.5925925925925926
heterogene,heteroxeneo,0.10666666666666669
inference,conclusion,0.6518518518518519
lire,ler,0.33333333333333337
tenace,tenaz,0.19999999999999996
ici,aqui,0.6000000000000001
resistance,resistencia,0.19333333333333336
donc,asi,0.8666666666666667
preliminaire,preliminar,0.026666666666666616
cordialite,cordialidade,0.10666666666666669
desagrement,inconveniente,0.5515151515151515
utile,util,0.033333333333333326
persistance,persistencia,0.17575757575757567
origine,orixe,0.21333333333333337
vertu,virtude,0.2266666666666668
gratitude,gratitude,0.0
demande,demanda,0.13333333333333341
imprevisible,impredicible,0.15555555555555556
se vanter,presumir,0.6333333333333333
socio-environnemental,socioambientais,0.31555555555555537
luxure,luxuria,0.16666666666666663
rive,costa,0.85
plenitude,plenitude,0.0
alors,enton,0.6933333333333334
multiforme,polifacetico,0.5266666666666666
voir,ver,0.33333333333333337
fait,feito,0.2666666666666667
degouter,noxo,0.7166666666666667
via,via,0.0
de racheter,para redimir,0.5393939393939394
susciter,instigar,0.5333333333333334
concession,concesion,0.014814814814814725
haleine,alento,0.3222222222222223
honneur,honra,0.21333333333333337
commun,comun,0.026666666666666727
deguise,disfrazado,0.5142857142857143
avant,antes,0.34666666666666657
monde,mundo,0.3733333333333334
coudre,coser,0.3733333333333334
urgent,urxente,0.1777777777777778
epiphanie,epifania,0.2416666666666667
hostile,hostis,0.16666666666666663
anxieux,ansioso,0.49523809523809526
refroidissement,arrefriamento,0.28205128205128205
aspect,aspecto,0.022222222222222143
mourir d'envie,anhelar,0.6857142857142857
indulgence,indulxencia,0.19333333333333336
possession,posesion,0.033333333333333326
lien,nexo,0.6333333333333333
perseverance,perseveranza,0.14444444444444438
comprehension,comprension,0.018181818181818188
sans,sen,0.3555555555555556
ethere,etereo,0.15555555555555556
beni,bendito,0.08333333333333337
il consiste,consiste,0.033333333333333326
heterosexuel,heterosexual,0.07777777777777772
superstitieux,supersticioso,0.2666666666666665
luxure,luxuria,0.16666666666666663
credibilite,credibilidade,0.09696969696969682
synthetiser,sintetizar,0.2799999999999999
definir,definir,0.0
voir,velai,0.4666666666666667
