en,gl,Alignment Score
convergence,converxencia,0.17575757575757567
expose,exponer,0.1777777777777778
cause,causa,0.18666666666666676
rime,rime,0.0
succumb,sucumbir,0.1428571428571429
concerns,preocupacions,0.4666666666666667
vicissitude,vicisitude,0.013333333333333308
i did,fixen,0.6799999999999999
pejorative,pexorativo,0.18666666666666676
pretension,pretension,0.0
ratify,ratificar,0.18888888888888877
excellence,excelencia,0.17999999999999994
disruptive,perturbador,0.6666666666666667
paradox,paradoxo,0.01904761904761898
tacit,tacito,0.026666666666666727
pair,par,0.04444444444444451
cunning,astucia,0.6095238095238096
belligerent,belixerante,0.25454545454545463
in addition,ademais,0.5428571428571429
king,rei,0.6222222222222222
versatility,versatilidade,0.16969696969696957
overestimate,sobreestimar,0.30000000000000004
holds,aguanta,0.8533333333333334
affable,afable,0.022222222222222143
ethics,etica,0.21333333333333337
rude,groseiro,0.5333333333333334
consonant,consoante,0.10370370370370374
exacerbated,exacerbado,0.09999999999999998
desire,desexo,0.288888888888889
uncompromising,intransixente,0.5435897435897437
subterfuge,subterfuxio,0.17999999999999994
congruence,congruencia,0.09999999999999987
extroverted,extrovertido,0.09696969696969682
prudence,prudencia,0.125
icon,icona,0.033333333333333326
culture,cultura,0.13333333333333341
link,ligazon,0.2833333333333333
session,sesion,0.022222222222222143
will,vontade,0.8833333333333334
too,tamen,0.6222222222222222
affection,carino,0.48888888888888893
plausibility,verosimilitude,0.4444444444444444
straight,recto,0.5733333333333334
haphazardly,ao azar,0.3047619047619049
arrogant,arrogante,0.016666666666666607
precedent,precedente,0.014814814814814725
rectification,rectificacion,0.07179487179487176
idle,ocioso,0.6833333333333333
momentum,impulso,0.6095238095238096
additional,adicional,0.11851851851851858
trivial,trivial,0.0
contemporary,contemporaneo,0.1499999999999999
evergreen,perenne,0.40000000000000013
circumstance,circunstancia,0.16111111111111098
intransigence,intransixencia,0.14871794871794863
posteriorly,posteriormente,0.17575757575757556
quintessence,quintaesencia,0.16111111111111098
untimely,intempestivo,0.4916666666666667
heterogeneous,heteroxeneo,0.10303030303030303
inference,conclusion,0.6518518518518519
to read,ler,0.6888888888888889
tenacious,tenaz,0.2400000000000001
here,aqui,0.8333333333333334
resistance,resistencia,0.19333333333333336
so,asi,0.5333333333333334
preliminary,preliminar,0.013333333333333308
cordiality,cordialidade,0.18666666666666665
inconvenience,inconveniente,0.07179487179487176
helpful,util,0.4833333333333333
persistence,persistencia,0.09090909090909083
origin,orixe,0.3600000000000001
virtue,virtude,0.022222222222222143
gratitude,gratitude,0.0
demand,demanda,0.022222222222222143
unpredictable,impredicible,0.22777777777777775
boast,presumir,0.7333333333333334
socio-environmental,socioambientais,0.30666666666666653
lust,luxuria,0.4833333333333334
shore,costa,0.6799999999999999
fullness,plenitude,0.55
then,enton,0.45000000000000007
multifaceted,polifacetico,0.36111111111111116
see,ver,0.6000000000000001
fact,feito,0.4666666666666667
disgust,noxo,0.8833333333333334
via,via,0.0
to redeem,para redimir,0.41481481481481486
instigate,instigar,0.125
concession,concesion,0.014814814814814725
breath,alento,0.5777777777777777
honor,honra,0.18666666666666676
common,comun,0.19999999999999996
disguised,disfrazado,0.4740740740740742
before,antes,0.6933333333333334
world,mundo,0.6799999999999999
sew,coser,0.37777777777777777
urgent,urxente,0.1777777777777778
epiphany,epifania,0.33333333333333337
hostile,hostis,0.16666666666666663
anxious,ansioso,0.2666666666666666
cooling,arrefriamento,0.6761904761904762
aspect,aspecto,0.022222222222222143
to crave,anhelar,0.6190476190476191
indulgence,indulxencia,0.19333333333333336
possession,posesion,0.033333333333333326
nexus,nexo,0.25
perseverance,perseveranza,0.14444444444444438
understanding,comprension,0.5575757575757576
without,sen,0.9333333333333333
ethereal,etereo,0.18888888888888888
blessed,bendito,0.48571428571428577
it consists,consiste,0.15000000000000002
heterosexual,heterosexual,0.0
superstitious,supersticioso,0.1435897435897434
lust,luxuria,0.4833333333333334
credibility,credibilidade,0.16969696969696957
synthesize,sintetizar,0.3666666666666667
define,definir,0.16666666666666663
behold,velai,0.56
