en,it,Alignment Score
convergence,convergenza,0.15757575757575748
expose,esporre,0.3222222222222223
cause,causa,0.18666666666666676
rime,brina,0.4666666666666667
succumb,soccombere,0.3047619047619049
concerns,preoccupazioni,0.5833333333333333
vicissitude,vicenda,0.40000000000000013
i did,l'ho fatto,0.76
pejorative,peggiorativo,0.19999999999999996
pretension,pretesa,0.17142857142857149
ratify,ratificare,0.19999999999999984
excellence,eccellenza,0.2666666666666667
disruptive,dirompente,0.3533333333333334
paradox,paradosso,0.1523809523809524
tacit,tacito,0.026666666666666727
pair,paio,0.2333333333333334
cunning,astuzia,0.6285714285714286
belligerent,belligerante,0.09696969696969693
in addition,inoltre,0.523809523809524
king,re,0.9333333333333333
versatility,versatilita,0.08484848484848473
overestimate,sopravvalutare,0.5055555555555555
holds,tiene,0.8266666666666667
affable,affabile,0.01904761904761898
ethics,etica,0.21333333333333337
rude,maleducato,0.75
consonant,consonante,0.014814814814814725
exacerbated,esasperato,0.3733333333333334
desire,desiderio,0.19999999999999996
uncompromising,intransigente,0.5384615384615384
subterfuge,sotterfugio,0.2733333333333333
congruence,congruenza,0.17333333333333334
extroverted,estroverso,0.2733333333333333
prudence,prudenza,0.21666666666666667
icon,icona,0.033333333333333326
culture,cultura,0.13333333333333341
link,collegamento,0.6166666666666667
session,sessione,0.01904761904761898
will,volere,0.6833333333333333
too,pure,0.8666666666666667
affection,affetto,0.17142857142857149
plausibility,plausibilita,0.07777777777777772
straight,dritto,0.47777777777777775
haphazardly,a casaccio,0.6133333333333333
arrogant,arrogante,0.016666666666666607
precedent,precedente,0.014814814814814725
rectification,rettifica,0.1407407407407406
idle,oziare,0.4833333333333334
momentum,quantita di moto,0.6000000000000001
additional,aggiuntivo,0.43333333333333335
trivial,banale,0.5777777777777777
contemporary,contemporaneo,0.1499999999999999
evergreen,sempreverde,0.4
circumstance,circostanza,0.24848484848484842
intransigence,intransigenza,0.1333333333333332
posteriorly,posteriormente,0.17575757575757556
quintessence,quintessenza,0.14444444444444438
untimely,prematuro,0.7333333333333334
heterogeneous,eterogeneo,0.033333333333333215
inference,inferenza,0.19259259259259254
to read,leggere,0.6
tenacious,tenace,0.18888888888888877
here,qui,0.8666666666666667
resistance,resistenza,0.2533333333333333
so,cosi,0.5666666666666667
preliminary,preliminare,0.08484848484848473
cordiality,cordialita,0.09333333333333327
inconvenience,inconveniente,0.07179487179487176
helpful,utile,0.5466666666666666
persistence,persistenza,0.15757575757575748
origin,origine,0.022222222222222143
virtue,virtu,0.026666666666666727
gratitude,gratitudine,0.022222222222222254
demand,richiesta,0.6222222222222222
unpredictable,imprevedibile,0.33333333333333337
boast,vantarsi,0.5866666666666667
socio-environmental,socio-ambientale,0.22916666666666652
lust,lussuria,0.30000000000000016
shore,costa,0.6799999999999999
fullness,pienezza,0.6333333333333333
then,poi,0.8666666666666667
multifaceted,multiforme,0.2733333333333332
see,vedere,0.3999999999999999
fact,fatto,0.25
disgust,disgusto,0.01904761904761898
via,attraverso,0.7333333333333334
to redeem,riscattare,0.5703703703703704
instigate,istigare,0.13333333333333341
concession,concessione,0.013333333333333308
breath,respiro,0.5777777777777777
honor,onore,0.18666666666666676
common,comune,0.30000000000000016
disguised,mascherato,0.6666666666666667
before,prima,0.7066666666666668
world,mondo,0.5466666666666666
sew,cucire,0.6666666666666667
urgent,urgente,0.022222222222222143
epiphany,epifania,0.33333333333333337
hostile,ostile,0.022222222222222143
anxious,ansioso,0.2666666666666666
cooling,raffreddamento,0.780952380952381
aspect,aspetto,0.16666666666666663
to crave,bramare,0.5047619047619049
indulgence,indulgenza,0.17333333333333334
possession,possesso,0.033333333333333326
nexus,nesso,0.34666666666666657
perseverance,perseveranza,0.14444444444444438
understanding,comprensione,0.5777777777777777
without,senza,0.8533333333333334
ethereal,etereo,0.18888888888888888
blessed,benedetto,0.40000000000000013
it consists,consiste,0.15000000000000002
heterosexual,eterosessuale,0.16111111111111098
superstitious,superstizioso,0.1435897435897434
lust,lussuria,0.30000000000000016
credibility,credibilita,0.08484848484848473
synthesize,sintetizzare,0.29333333333333333
define,definire,0.03333333333333344
behold,ecco,0.5
