es,gl,Alignment Score
convergencia,converxencia,0.07777777777777772
exponer,exponer,0.0
causa,causa,0.0
escarcha,rime,0.7
sucumbir,sucumbir,0.0
preocupaciones,preocupacions,0.01025641025641022
vicisitud,vicisitude,0.014814814814814725
hice,fixen,0.5
peyorativo,pexorativo,0.09333333333333338
pretension,pretension,0.0
ratificar,ratificar,0.0
excelencia,excelencia,0.0
disruptivo,perturbador,0.6
paradoja,paradoxo,0.21666666666666667
tacito,tacito,0.0
par,par,0.0
astuto,astucia,0.30000000000000016
beligerante,belixerante,0.08484848484848484
ademas,ademais,0.022222222222222143
rey,rei,0.3111111111111111
versatilidad,versatilidade,0.011111111111111072
sobreestimar,sobreestimar,0.0
sostiene,aguanta,0.7333333333333334
afable,afable,0.0
etica,etica,0.0
brusco,groseiro,0.48888888888888893
consonante,consoante,0.014814814814814725
exacerbado,exacerbado,0.0
deseo,desexo,0.026666666666666727
intransigente,intransixente,0.07179487179487176
subterfugio,subterfuxio,0.08484848484848484
congruencia,congruencia,0.0
extrovertido,extrovertido,0.0
prudencia,prudencia,0.0
icono,icona,0.18666666666666676
cultura,cultura,0.0
enlace,ligazon,0.5888888888888889
sesion,sesion,0.0
voluntad,vontade,0.1428571428571429
tambien,tamen,0.04000000000000015
afecto,carino,0.5666666666666667
plausibilidad,verosimilitude,0.4717948717948719
derecho,recto,0.22666666666666668
al azar,ao azar,0.13333333333333341
arrogante,arrogante,0.0
precedente,precedente,0.0
rectificacion,rectificacion,0.0
inactivo,ocioso,0.47777777777777775
impulso,impulso,0.0
adicional,adicional,0.0
trivial,trivial,0.0
contemporaneo,contemporaneo,0.0
hojas perennes,perenne,0.08571428571428574
circunstancia,circunstancia,0.0
intransigencia,intransixencia,0.06666666666666665
posteriormente,posteriormente,0.0
quintaesencia,quintaesencia,0.0
prematuro,intempestivo,0.5111111111111111
heterogeneo,heteroxeneo,0.08484848484848484
inferencia,conclusion,0.5933333333333334
leer,ler,0.04444444444444451
tenaz,tenaz,0.0
aqui,aqui,0.0
resistencia,resistencia,0.0
entonces,asi,0.711111111111111
preliminar,preliminar,0.0
cordialidad,cordialidade,0.012121212121212088
inconveniencia,inconveniente,0.1384615384615382
util,util,0.0
persistencia,persistencia,0.0
origen,orixe,0.21333333333333337
virtud,virtude,0.022222222222222143
gratitud,gratitude,0.016666666666666607
demanda,demanda,0.0
impredecible,impredicible,0.07777777777777772
presumir,presumir,0.0
socioambiental,socioambientais,0.0714285714285714
lujuria,luxuria,0.13333333333333341
costa,costa,0.0
plenitud,plenitude,0.016666666666666607
entonces,enton,0.05333333333333323
multifacetico,polifacetico,0.15555555555555556
ver,ver,0.0
hecho,feito,0.5333333333333333
asco,noxo,0.6333333333333333
a traves de,via,0.7555555555555555
para redimir,para redimir,0.0
instigar,instigar,0.0
concesion,concesion,0.0
aliento,alento,0.022222222222222143
honor,honra,0.18666666666666676
comun,comun,0.0
disfrazado,disfrazado,0.0
antes,antes,0.0
mundo,mundo,0.0
coser,coser,0.0
urgente,urxente,0.13333333333333341
epifania,epifania,0.0
hostil,hostis,0.15555555555555556
ansioso,ansioso,0.0
enfriamiento,arrefriamento,0.15555555555555556
aspecto,aspecto,0.0
ansiar,anhelar,0.30000000000000004
indulgencia,indulxencia,0.08484848484848484
posesion,posesion,0.0
nexo,nexo,0.0
perserverancia,perseveranza,0.09444444444444422
comprension,comprension,0.0
sin,sen,0.3111111111111112
etereo,etereo,0.0
bienaventurado,bendito,0.3238095238095239
consiste,consiste,0.0
heterosexual,heterosexual,0.0
supersticioso,supersticioso,0.0
lujuria,luxuria,0.13333333333333341
credibilidad,credibilidade,0.011111111111111072
sintetizar,sintetizar,0.0
definir,definir,0.0
mirad,velai,0.6799999999999999
