pt,es,Alignment Score
convergencia,convergencia,0.0
expor,exponer,0.04000000000000015
causa,causa,0.0
rima,escarcha,0.5166666666666666
sucumbir,sucumbir,0.0
concerne,preocupaciones,0.4833333333333334
vicissitude,vicisitud,0.02962962962962956
fiz,hice,0.6444444444444445
pejorativo,peyorativo,0.09333333333333338
pretensao,pretension,0.11851851851851858
ratificar,ratificar,0.0
excelencia,excelencia,0.0
disruptivo,disruptivo,0.0
paradoxo,paradoja,0.21666666666666667
tacito,tacito,0.0
por,par,0.3111111111111112
ardiloso,astuto,0.4444444444444444
beligerante,beligerante,0.0
ademais,ademas,0.022222222222222143
rei,rey,0.3111111111111111
versatilidade,versatilidad,0.011111111111111072
superestimar,sobreestimar,0.21666666666666667
detem,sostiene,0.5733333333333334
afavel,afable,0.30000000000000016
etica,etica,0.0
rude,brusco,0.4833333333333334
consoante,consonante,0.014814814814814725
exacerbado,exacerbado,0.0
desejo,deseo,0.026666666666666727
intransigente,intransigente,0.0
subterfugio,subterfugio,0.0
congruencia,congruencia,0.0
extrovertido,extrovertido,0.0
prudencia,prudencia,0.0
icone,icono,0.18666666666666676
cultura,cultura,0.0
elo,enlace,0.4
sessao,sesion,0.30000000000000016
ira,voluntad,0.711111111111111
tambem,tambien,0.1777777777777778
afeto,afecto,0.026666666666666727
plausibilidade,plausibilidad,0.01025641025641022
hetero,derecho,0.4444444444444444
esmo,al azar,0.8833333333333334
arrogante,arrogante,0.0
precedente,precedente,0.0
retificacao,rectificacion,0.1090909090909089
ocioso,inactivo,0.47777777777777775
impeto,impulso,0.30000000000000016
complementar,adicional,0.5111111111111111
trivial,trivial,0.0
contemporaneo,contemporaneo,0.0
perene,hojas perennes,0.12222222222222223
circunstancia,circunstancia,0.0
intransigencia,intransigencia,0.0
posteriormente,posteriormente,0.0
quintessencia,quintaesencia,0.07179487179487176
intempestivo,prematuro,0.5111111111111111
heterogeneo,heterogeneo,0.0
ilacao,inferencia,0.48888888888888893
ler,leer,0.04444444444444451
tenaz,tenaz,0.0
aquem,aqui,0.25
resistencia,resistencia,0.0
tao,entonces,0.4444444444444444
preliminar,preliminar,0.0
cordialidade,cordialidad,0.012121212121212088
inconveniencia,inconveniencia,0.0
solicito,util,0.7166666666666668
persistencia,persistencia,0.0
procedencia,origen,0.5
virtude,virtud,0.022222222222222143
gratidao,gratitud,0.21666666666666667
demanda,demanda,0.0
imprevisivel,impredecible,0.3555555555555555
jactancia,presumir,0.7416666666666667
socioambiental,socioambiental,0.0
concupiscencia,lujuria,0.5619047619047619
orla,costa,0.4666666666666667
plenitude,plenitud,0.016666666666666607
pois,entonces,0.5333333333333334
multifacetado,multifacetico,0.1333333333333332
vide,ver,0.33333333333333337
fato,hecho,0.6499999999999999
asco,asco,0.0
via,a traves de,0.7555555555555555
redimir,para redimir,0.05714285714285716
instigar,instigar,0.0
concessao,concesion,0.19999999999999996
alento,aliento,0.022222222222222143
honra,honor,0.18666666666666676
comum,comun,0.18666666666666676
dissimulado,disfrazado,0.3400000000000001
ante,antes,0.033333333333333326
mundo,mundo,0.0
coser,coser,0.0
urge,urgente,0.06666666666666676
epifania,epifania,0.0
hostil,hostil,0.0
ansioso,ansioso,0.0
arrefecimento,enfriamiento,0.3055555555555556
aspecto,aspecto,0.0
almejar,ansiar,0.43333333333333335
indulgencia,indulgencia,0.0
posse,posesion,0.2266666666666668
nexo,nexo,0.0
perseveranca,perserverancia,0.022222222222222143
entendimento,comprension,0.5454545454545454
sem,sin,0.5777777777777777
etereo,etereo,0.0
bem-aventurado,bienaventurado,0.12857142857142856
consiste,consiste,0.0
heterossexual,heterosexual,0.011111111111111072
supersticioso,supersticioso,0.0
luxuria,lujuria,0.13333333333333341
credibilidade,credibilidad,0.011111111111111072
sintetizar,sintetizar,0.0
defina,definir,0.16666666666666663
eis,mirad,0.6666666666666667
