pt,fr,Alignment Score
convergencia,convergence,0.09090909090909083
expor,exposer,0.04000000000000015
causa,cause,0.18666666666666676
rima,rime,0.2333333333333334
sucumbir,succomber,0.2416666666666667
concerne,preoccupations,0.5833333333333333
vicissitude,vicissitudes,0.012121212121212088
fiz,je l'ai fait,0.5555555555555556
pejorativo,pejoratif,0.11111111111111116
pretensao,pretention,0.20740740740740748
ratificar,ratifier,0.125
excelencia,excellence,0.17999999999999994
disruptivo,perturbateur,0.6200000000000001
paradoxo,paradoxe,0.1166666666666667
tacito,tacite,0.15555555555555556
por,paire,0.37777777777777777
ardiloso,ruse,0.55
beligerante,belligerant,0.08484848484848473
ademais,en outre,0.7238095238095238
rei,roi,0.3111111111111112
versatilidade,polyvalence,0.5515151515151515
superestimar,surestimer,0.11333333333333329
detem,tient,0.5333333333333333
afavel,affable,0.3222222222222223
etica,ethique,0.3866666666666667
rude,grossier,0.5333333333333334
consoante,consonne,0.13333333333333341
exacerbado,exacerbe,0.1333333333333333
desejo,desir,0.3600000000000001
intransigente,intransigeant,0.07179487179487176
subterfugio,subterfuge,0.09999999999999987
congruencia,congruence,0.09999999999999987
extrovertido,extraverti,0.11333333333333329
prudencia,prudence,0.125
icone,icone,0.0
cultura,culture,0.13333333333333341
elo,lien,0.6222222222222222
sessao,session,0.1777777777777778
ira,volonte,0.9333333333333333
tambem,aussi,0.6933333333333334
afeto,affection,0.1066666666666668
plausibilidade,plausibilite,0.0888888888888888
hetero,droit,0.5333333333333333
esmo,au hasard,0.75
arrogante,arrogant,0.016666666666666607
precedente,precedent,0.014814814814814725
retificacao,rectification,0.18181818181818177
ocioso,inactif,0.6000000000000001
impeto,elan,0.6833333333333333
complementar,supplementaire,0.23333333333333328
trivial,banal,0.5333333333333333
contemporaneo,contemporain,0.08333333333333337
perene,a feuilles persistantes,0.37777777777777777
circunstancia,circonstance,0.16111111111111098
intransigencia,intransigeance,0.12857142857142834
posteriormente,posterieurement,0.13809523809523805
quintessencia,quintessence,0.08333333333333337
intempestivo,premature,0.5925925925925926
heterogeneo,heterogene,0.013333333333333308
ilacao,inference,0.6111111111111112
ler,lire,0.33333333333333337
tenaz,tenace,0.19999999999999996
aquem,ici,0.8888888888888888
resistencia,resistance,0.19333333333333336
tao,donc,0.6222222222222222
preliminar,preliminaire,0.026666666666666616
cordialidade,cordialite,0.10666666666666669
inconveniencia,desagrement,0.6363636363636364
solicito,utile,0.7333333333333334
persistencia,persistance,0.17575757575757567
procedencia,origine,0.6476190476190476
virtude,vertu,0.2266666666666668
gratidao,gratitude,0.2333333333333334
demanda,demande,0.13333333333333341
imprevisivel,imprevisible,0.1499999999999999
jactancia,se vanter,0.6518518518518519
socioambiental,socio-environnemental,0.21904761904761894
concupiscencia,luxure,0.6777777777777778
orla,rive,0.6500000000000001
plenitude,plenitude,0.0
pois,alors,0.4833333333333334
multifacetado,multiforme,0.2733333333333332
vide,voir,0.45000000000000007
fato,fait,0.2333333333333334
asco,degouter,0.7166666666666667
via,via,0.0
redimir,de racheter,0.5238095238095238
instigar,susciter,0.5333333333333334
concessao,concession,0.11851851851851858
alento,haleine,0.3222222222222223
honra,honneur,0.21333333333333337
comum,commun,0.19999999999999996
dissimulado,deguise,0.523809523809524
ante,avant,0.25
mundo,monde,0.3733333333333334
coser,coudre,0.3733333333333334
urge,urgent,0.050000000000000155
epifania,epiphanie,0.2416666666666667
hostil,hostile,0.022222222222222143
ansioso,anxieux,0.49523809523809526
arrefecimento,refroidissement,0.3384615384615385
aspecto,aspect,0.022222222222222143
almejar,mourir d'envie,0.6666666666666667
indulgencia,indulgence,0.09999999999999987
posse,possession,0.07999999999999985
nexo,lien,0.6333333333333333
perseveranca,perseverance,0.07777777777777772
entendimento,comprehension,0.5111111111111112
sem,sans,0.6000000000000001
etereo,ethere,0.15555555555555556
bem-aventurado,beni,0.41666666666666685
consiste,il consiste,0.033333333333333326
heterossexual,heterosexuel,0.0888888888888888
supersticioso,superstitieux,0.2666666666666665
luxuria,luxure,0.16666666666666663
credibilidade,credibilite,0.09696969696969682
sintetizar,synthetiser,0.2799999999999999
defina,definir,0.16666666666666663
eis,voir,0.6444444444444445
