en,ro,Alignment Score
convergence,convergenta,0.15757575757575748
expose,expune,0.288888888888889
cause,cauza,0.3466666666666668
rime,bruma,0.5
succumb,sucomba,0.2571428571428571
concerns,preocupari,0.575
vicissitude,vicisitudine,0.09090909090909083
i did,am facut,0.7333333333333334
pejorative,peiorativ,0.11851851851851858
pretension,pretensionare,0.026666666666666616
ratify,ratifica,0.1777777777777777
excellence,excelenta,0.20740740740740748
disruptive,perturbatoare,0.5466666666666666
paradox,paradox,0.0
tacit,tacit,0.0
pair,pereche,0.5
cunning,viclean,0.6095238095238096
belligerent,beligerant,0.1066666666666668
in addition,in plus,0.5142857142857145
king,rege,0.6499999999999999
versatility,versatilitate,0.09696969696969682
overestimate,supraestima,0.3212121212121213
holds,tine,0.85
affable,afabil,0.1777777777777778
ethics,etica,0.21333333333333337
rude,nepoliticos,0.7666666666666667
consonant,consoana,0.125
exacerbated,exacerbata,0.09999999999999987
desire,dorinta,0.5888888888888888
uncompromising,fara compromisuri,0.26190476190476186
subterfuge,subterfugiu,0.09999999999999987
congruence,congruenta,0.17333333333333334
extroverted,extrovertit,0.15757575757575748
prudence,prudenta,0.21666666666666667
icon,pictograma,0.3666666666666668
culture,cultura,0.13333333333333341
link,legatura,0.7
session,sesiune,0.2666666666666667
will,voi,0.6222222222222222
too,de asemenea,1.0222222222222221
affection,afectiune,0.20740740740740748
plausibility,plauzibilitatea,0.17222222222222205
straight,drept,0.5733333333333334
haphazardly,la intamplare,0.5636363636363637
arrogant,arogant,0.01904761904761898
precedent,precedent,0.0
rectification,rectificare,0.16969696969696957
idle,inactiv,0.6833333333333333
momentum,impuls,0.6111111111111112
additional,aditional,0.014814814814814725
trivial,banal,0.5333333333333333
contemporary,contemporan,0.09090909090909083
evergreen,vesnic verde,0.41481481481481486
circumstance,circumstanta,0.14444444444444438
intransigence,intransigenta,0.1333333333333332
posteriorly,posterior,0.022222222222222143
quintessence,chintesenta,0.32727272727272716
untimely,intempestiv,0.4833333333333334
heterogeneous,eterogen,0.05833333333333324
inference,deducere,0.5333333333333334
to read,a citi,0.711111111111111
tenacious,tenace,0.18888888888888877
here,aici,0.8333333333333334
resistance,rezistenta,0.34666666666666657
so,asa de,0.6333333333333333
preliminary,preliminar,0.013333333333333308
cordiality,cordialitate,0.10666666666666658
inconvenience,incomoda,0.4583333333333335
helpful,util,0.4833333333333333
persistence,persistenta,0.15757575757575748
origin,origine,0.022222222222222143
virtue,virtute,0.022222222222222143
gratitude,recunostinta,0.5111111111111111
demand,cerere,0.7
unpredictable,imprevizibile,0.4
boast,lauda,0.6799999999999999
socio-environmental,socio-mediu,0.2848484848484846
lust,pofta,0.6666666666666667
shore,tarm,0.6833333333333333
fullness,plenitudine,0.5583333333333333
then,apoi,0.8333333333333334
multifaceted,cu mai multe fatete,0.27222222222222237
see,vedea,0.3999999999999999
fact,fapt,0.2333333333333334
disgust,dezgust,0.24761904761904763
via,prin intermediul,0.9111111111111111
to redeem,a rascumpara,0.5925925925925926
instigate,instiga,0.028571428571428692
concession,concesiune,0.18666666666666676
breath,suflare,0.5777777777777777
honor,onora,0.18666666666666676
common,uzual,0.8400000000000001
disguised,deghizat,0.5583333333333333
before,inainte de,0.6222222222222222
world,lume,0.6666666666666667
sew,a coase,0.3999999999999999
urgent,urgent,0.0
epiphany,epifanie,0.33333333333333337
hostile,ostil,0.053333333333333344
anxious,nerabdator,0.6476190476190476
cooling,racire,0.5888888888888889
aspect,aspect,0.0
to crave,a pofti,0.7238095238095238
indulgence,indulgenta,0.17333333333333334
possession,detinere,0.5666666666666667
nexus,legatura,0.6000000000000001
perseverance,perseverenta,0.21111111111111092
understanding,intelegere,0.6
without,fara,0.8833333333333334
ethereal,eteric,0.3222222222222223
blessed,binecuvantat,0.6571428571428571
it consists,consta,0.2333333333333334
heterosexual,heterosexual,0.0
superstitious,superstitios,0.011111111111111072
lust,pofta,0.6666666666666667
credibility,credibilitate,0.09696969696969682
synthesize,sintetiza,0.32592592592592606
define,defini,0.15555555555555556
behold,iata,0.8666666666666667
