pt,en,es,fr,it,gl,ro
convergencia,convergence,convergencia,convergence,convergenza,converxencia,convergenta
expor,expose,exponer,exposer,esporre,exponer,expune
causa,cause,causa,cause,causa,causa,cauza
rima,rime,escarcha,rime,brina,rime,bruma
sucumbir,succumb,sucumbir,succomber,soccombere,sucumbir,sucomba
concerne,concerns,preocupaciones,preoccupations,preoccupazioni,preocupacions,preocupari
vicissitude,vicissitude,vicisitud,vicissitudes,vicenda,vicisitude,vicisitudine
fiz,i did,hice,je l'ai fait,l'ho fatto,fixen,am facut
pejorativo,pejorative,peyorativo,pejoratif,peggiorativo,pexorativo,peiorativ
pretensao,pretension,pretension,pretention,pretesa,pretension,pretensionare
ratificar,ratify,ratificar,ratifier,ratificare,ratificar,ratifica
excelencia,excellence,excelencia,excellence,eccellenza,excelencia,excelenta
disruptivo,disruptive,disruptivo,perturbateur,dirompente,perturbador,perturbatoare
paradoxo,paradox,paradoja,paradoxe,paradosso,paradoxo,paradox
tacito,tacit,tacito,tacite,tacito,tacito,tacit
por,pair,par,paire,paio,par,pereche
ardiloso,cunning,astuto,ruse,astuzia,astucia,viclean
beligerante,belligerent,beligerante,belligerant,belligerante,belixerante,beligerant
ademais,in addition,ademas,en outre,inoltre,ademais,in plus
rei,king,rey,roi,re,rei,rege
versatilidade,versatility,versatilidad,polyvalence,versatilita,versatilidade,versatilitate
superestimar,overestimate,sobreestimar,surestimer,sopravvalutare,sobreestimar,supraestima
detem,holds,sostiene,tient,tiene,aguanta,tine
afavel,affable,afable,affable,affabile,afable,afabil
etica,ethics,etica,ethique,etica,etica,etica
rude,rude,brusco,grossier,maleducato,groseiro,nepoliticos
consoante,consonant,consonante,consonne,consonante,consoante,consoana
exacerbado,exacerbated,exacerbado,exacerbe,esasperato,exacerbado,exacerbata
desejo,desire,deseo,desir,desiderio,desexo,dorinta
intransigente,uncompromising,intransigente,intransigeant,intransigente,intransixente,fara compromisuri
subterfugio,subterfuge,subterfugio,subterfuge,sotterfugio,subterfuxio,subterfugiu
congruencia,congruence,congruencia,congruence,congruenza,congruencia,congruenta
extrovertido,extroverted,extrovertido,extraverti,estroverso,extrovertido,extrovertit
prudencia,prudence,prudencia,prudence,prudenza,prudencia,prudenta
icone,icon,icono,icone,icona,icona,pictograma
cultura,culture,cultura,culture,cultura,cultura,cultura
elo,link,enlace,lien,collegamento,ligazon,legatura
sessao,session,sesion,session,sessione,sesion,sesiune
ira,will,voluntad,volonte,volere,vontade,voi
tambem,too,tambien,aussi,pure,tamen,de asemenea
afeto,affection,afecto,affection,affetto,carino,afectiune
plausibilidade,plausibility,plausibilidad,plausibilite,plausibilita,verosimilitude,plauzibilitatea
hetero,straight,derecho,droit,dritto,recto,drept
esmo,haphazardly,al azar,au hasard,a casaccio,ao azar,la intamplare
