es,fr,Alignment Score
convergencia,convergence,0.09090909090909083
exponer,exposer,0.13333333333333341
causa,cause,0.18666666666666676
escarcha,rime,0.7
sucumbir,succomber,0.2416666666666667
preocupaciones,preoccupations,0.13333333333333341
vicisitud,vicissitudes,0.03703703703703687
hice,je l'ai fait,0.7833333333333333
peyorativo,pejoratif,0.2148148148148148
pretension,pretention,0.09333333333333338
ratificar,ratifier,0.125
excelencia,excellence,0.17999999999999994
disruptivo,perturbateur,0.6200000000000001
paradoja,paradoxe,0.21666666666666667
tacito,tacite,0.15555555555555556
par,paire,0.08888888888888902
astuto,ruse,0.7
beligerante,belligerant,0.08484848484848473
ademas,en outre,0.7222222222222222
rey,roi,0.5777777777777777
versatilidad,polyvalence,0.6181818181818182
sobreestimar,surestimer,0.20666666666666678
sostiene,tient,0.2400000000000001
afable,affable,0.022222222222222143
etica,ethique,0.3866666666666667
brusco,grossier,0.6000000000000001
consonante,consonne,0.033333333333333326
exacerbado,exacerbe,0.1333333333333333
deseo,desir,0.3466666666666668
intransigente,intransigeant,0.07179487179487176
subterfugio,subterfuge,0.09999999999999987
congruencia,congruence,0.09999999999999987
extrovertido,extraverti,0.11333333333333329
prudencia,prudence,0.125
icono,icone,0.18666666666666676
cultura,culture,0.13333333333333341
enlace,lien,0.4666666666666667
sesion,session,0.022222222222222143
voluntad,volonte,0.2761904761904762
tambien,aussi,0.56
afecto,affection,0.06666666666666687
plausibilidad,plausibilite,0.1499999999999999
derecho,droit,0.3866666666666667
al azar,au hasard,0.3047619047619048
arrogante,arrogant,0.016666666666666607
precedente,precedent,0.014814814814814725
rectificacion,rectification,0.07179487179487176
inactivo,inactif,0.1428571428571429
impulso,elan,0.7166666666666668
adicional,supplementaire,0.6888888888888889
trivial,banal,0.5333333333333333
contemporaneo,contemporain,0.08333333333333337
hojas perennes,a feuilles persistantes,0.35238095238095235
circunstancia,circonstance,0.16111111111111098
intransigencia,intransigeance,0.12857142857142834
posteriormente,posterieurement,0.13809523809523805
quintaesencia,quintessence,0.16111111111111098
prematuro,premature,0.10370370370370374
heterogeneo,heterogene,0.013333333333333308
inferencia,inference,0.11111111111111116
leer,lire,0.43333333333333335
tenaz,tenace,0.19999999999999996
aqui,ici,0.6000000000000001
resistencia,resistance,0.19333333333333336
entonces,donc,0.31666666666666676
preliminar,preliminaire,0.026666666666666616
cordialidad,cordialite,0.17999999999999994
inconveniencia,desagrement,0.6363636363636364
util,utile,0.033333333333333326
persistencia,persistance,0.17575757575757567
origen,origine,0.16666666666666674
virtud,vertu,0.21333333333333337
gratitud,gratitude,0.016666666666666607
demanda,demande,0.13333333333333341
impredecible,imprevisible,0.21111111111111103
presumir,se vanter,0.6333333333333333
socioambiental,socio-environnemental,0.21904761904761894
lujuria,luxure,0.3222222222222223
costa,rive,0.85
plenitud,plenitude,0.016666666666666607
entonces,alors,0.5733333333333334
multifacetico,multiforme,0.2733333333333332
ver,voir,0.33333333333333337
hecho,fait,0.85
asco,degouter,0.7166666666666667
a traves de,via,0.7555555555555555
para redimir,de racheter,0.5393939393939394
instigar,susciter,0.5333333333333334
concesion,concession,0.014814814814814725
aliento,haleine,0.38095238095238104
honor,honneur,0.21333333333333337
comun,commun,0.026666666666666727
disfrazado,deguise,0.5142857142857143
antes,avant,0.34666666666666657
mundo,monde,0.3733333333333334
coser,coudre,0.3733333333333334
urgente,urgent,0.022222222222222143
epifania,epiphanie,0.2416666666666667
hostil,hostile,0.022222222222222143
ansioso,anxieux,0.49523809523809526
enfriamiento,refroidissement,0.3222222222222223
aspecto,aspect,0.022222222222222143
ansiar,mourir d'envie,0.6666666666666667
indulgencia,indulgence,0.09999999999999987
posesion,possession,0.033333333333333326
nexo,lien,0.6333333333333333
perserverancia,perseverance,0.09444444444444422
comprension,comprehension,0.018181818181818188
sin,sans,0.3555555555555556
etereo,ethere,0.15555555555555556
bienaventurado,beni,0.41666666666666685
consiste,il consiste,0.033333333333333326
heterosexual,heterosexuel,0.07777777777777772
supersticioso,superstitieux,0.2666666666666665
lujuria,luxure,0.3222222222222223
credibilidad,credibilite,0.16363636363636347
sintetizar,synthetiser,0.2799999999999999
definir,definir,0.0
mirad,voir,0.4666666666666667
