es,it,Alignment Score
convergencia,convergenza,0.09090909090909083
exponer,esporre,0.38095238095238104
causa,causa,0.0
escarcha,brina,0.5733333333333334
sucumbir,soccombere,0.375
preocupaciones,preoccupazioni,0.19523809523809532
vicisitud,vicenda,0.39047619047619064
hice,l'ho fatto,0.75
peyorativo,peggiorativo,0.10666666666666669
pretension,pretesa,0.17142857142857149
ratificar,ratificare,0.014814814814814725
excelencia,eccellenza,0.27333333333333343
disruptivo,dirompente,0.44000000000000006
paradoja,paradosso,0.22499999999999998
tacito,tacito,0.0
par,paio,0.33333333333333337
astuto,astuzia,0.30000000000000016
beligerante,belligerante,0.012121212121212088
ademas,inoltre,0.711111111111111
rey,re,0.06666666666666676
versatilidad,versatilita,0.09696969696969682
sobreestimar,sopravvalutare,0.4444444444444444
sostiene,tiene,0.053333333333333344
afable,affabile,0.04444444444444451
etica,etica,0.0
brusco,maleducato,0.48888888888888893
consonante,consonante,0.0
exacerbado,esasperato,0.3666666666666667
deseo,desiderio,0.08000000000000007
intransigente,intransigente,0.0
subterfugio,sotterfugio,0.1575757575757576
congruencia,congruenza,0.09999999999999998
extrovertido,estroverso,0.19999999999999996
prudencia,prudenza,0.125
icono,icona,0.18666666666666676
cultura,cultura,0.0
enlace,collegamento,0.5333333333333334
sesion,sessione,0.04444444444444451
voluntad,volere,0.44444444444444453
tambien,pure,0.7
afecto,affetto,0.1777777777777778
plausibilidad,plausibilita,0.0888888888888888
derecho,dritto,0.4444444444444444
al azar,a casaccio,0.4285714285714287
arrogante,arrogante,0.0
precedente,precedente,0.0
rectificacion,rettifica,0.1407407407407406
inactivo,oziare,0.6
impulso,quantita di moto,0.5809523809523809
adicional,aggiuntivo,0.49629629629629635
trivial,banale,0.5777777777777777
contemporaneo,contemporaneo,0.0
hojas perennes,sempreverde,0.49090909090909096
circunstancia,circostanza,0.18181818181818177
intransigencia,intransigenza,0.07692307692307687
posteriormente,posteriormente,0.0
quintaesencia,quintessenza,0.16111111111111098
prematuro,prematuro,0.0
heterogeneo,eterogeneo,0.013333333333333308
inferencia,inferenza,0.11111111111111116
leer,leggere,0.08333333333333337
tenaz,tenace,0.19999999999999996
aqui,qui,0.04444444444444451
resistencia,resistenza,0.09999999999999998
entonces,cosi,0.5333333333333334
preliminar,preliminare,0.013333333333333308
cordialidad,cordialita,0.10666666666666669
inconveniencia,inconveniente,0.1384615384615382
util,utile,0.033333333333333326
persistencia,persistenza,0.09090909090909083
origen,origine,0.16666666666666674
virtud,virtu,0.026666666666666727
gratitud,gratitudine,0.033333333333333215
demanda,richiesta,0.6285714285714286
impredecible,imprevedibile,0.15555555555555556
presumir,vantarsi,0.5416666666666667
socioambiental,socio-ambientale,0.01904761904761898
lujuria,lussuria,0.1428571428571429
costa,costa,0.0
plenitud,pienezza,0.5333333333333334
entonces,poi,0.7333333333333334
multifacetico,multiforme,0.2733333333333332
ver,vedere,0.11111111111111116
hecho,fatto,0.6666666666666667
asco,disgusto,0.5333333333333334
a traves de,attraverso,0.2799999999999999
para redimir,riscattare,0.52
instigar,istigare,0.1166666666666667
concesion,concessione,0.02962962962962956
aliento,respiro,0.6095238095238096
honor,onore,0.18666666666666676
comun,comune,0.026666666666666727
disfrazado,mascherato,0.52
antes,prima,0.6666666666666667
mundo,mondo,0.18666666666666676
coser,cucire,0.5333333333333333
urgente,urgente,0.0
epifania,epifania,0.0
hostil,ostile,0.15555555555555556
ansioso,ansioso,0.0
enfriamiento,raffreddamento,0.3055555555555556
aspecto,aspetto,0.13333333333333341
ansiar,bramare,0.4555555555555556
indulgencia,indulgenza,0.09999999999999998
posesion,possesso,0.2333333333333334
nexo,nesso,0.25
perserverancia,perseveranza,0.09444444444444422
comprension,comprensione,0.012121212121212088
sin,senza,0.37777777777777777
etereo,etereo,0.0
bienaventurado,benedetto,0.3333333333333335
consiste,consiste,0.0
heterosexual,eterosessuale,0.16111111111111098
supersticioso,superstizioso,0.07179487179487176
lujuria,lussuria,0.1428571428571429
credibilidad,credibilita,0.09696969696969682
sintetizar,sintetizzare,0.026666666666666616
definir,definire,0.01904761904761898
mirad,ecco,0.85
