fr,it,Alignment Score
convergence,convergenza,0.15757575757575748
exposer,esporre,0.38095238095238104
cause,causa,0.18666666666666676
rime,brina,0.4666666666666667
succomber,soccombere,0.11851851851851858
preoccupations,preoccupazioni,0.1333333333333332
vicissitudes,vicenda,0.4190476190476191
je l'ai fait,l'ho fatto,0.3666666666666667
pejoratif,peggiorativo,0.22962962962962963
pretention,pretesa,0.2761904761904761
ratifier,ratificare,0.1333333333333333
excellence,eccellenza,0.2666666666666667
perturbateur,dirompente,0.52
paradoxe,paradosso,0.22499999999999998
tacite,tacito,0.15555555555555556
paire,paio,0.25
ruse,astuzia,0.7166666666666668
belligerant,belligerante,0.012121212121212088
en outre,inoltre,0.2857142857142857
roi,re,0.5
polyvalence,versatilita,0.6121212121212122
surestimer,sopravvalutare,0.5266666666666666
tient,tiene,0.18666666666666676
affable,affabile,0.01904761904761898
ethique,etica,0.3866666666666667
grossier,maleducato,0.7416666666666667
consonne,consonante,0.033333333333333326
exacerbe,esasperato,0.4666666666666668
desir,desiderio,0.08000000000000007
intransigeant,intransigente,0.07179487179487176
subterfuge,sotterfugio,0.2733333333333333
congruence,congruenza,0.17333333333333334
extraverti,estroverso,0.36
prudence,prudenza,0.21666666666666667
icone,icona,0.18666666666666676
culture,cultura,0.13333333333333341
lien,collegamento,0.4
session,sessione,0.01904761904761898
volonte,volere,0.30000000000000016
aussi,pure,0.6833333333333333
affection,affetto,0.17142857142857149
plausibilite,plausibilita,0.07777777777777772
droit,dritto,0.19999999999999996
au hasard,a casaccio,0.3999999999999999
arrogant,arrogante,0.016666666666666607
precedent,precedente,0.014814814814814725
rectification,rettifica,0.1407407407407406
inactif,oziare,0.5888888888888888
elan,quantita di moto,0.6499999999999999
supplementaire,aggiuntivo,0.5466666666666666
banal,banale,0.026666666666666727
contemporain,contemporaneo,0.08333333333333337
a feuilles persistantes,sempreverde,0.5515151515151515
circonstance,circostanza,0.16969696969696957
intransigeance,intransigenza,0.1384615384615382
posterieurement,posteriormente,0.13809523809523805
quintessence,quintessenza,0.14444444444444438
premature,prematuro,0.10370370370370374
heterogene,eterogeneo,0.09333333333333327
inference,inferenza,0.19259259259259254
lire,leggere,0.2833333333333333
tenace,tenace,0.0
ici,qui,0.5777777777777777
resistance,resistenza,0.2533333333333333
donc,cosi,0.6333333333333333
preliminaire,preliminare,0.012121212121212088
cordialite,cordialita,0.09333333333333327
desagrement,inconveniente,0.5515151515151515
utile,utile,0.0
persistance,persistenza,0.23030303030303023
origine,origine,0.0
vertu,virtu,0.18666666666666676
gratitude,gratitudine,0.022222222222222254
demande,richiesta,0.638095238095238
imprevisible,imprevedibile,0.15555555555555556
se vanter,vantarsi,0.3416666666666668
socio-environnemental,socio-ambientale,0.23749999999999982
luxure,lussuria,0.33333333333333337
rive,costa,0.85
plenitude,pienezza,0.44166666666666676
alors,poi,0.6666666666666667
multiforme,multiforme,0.0
voir,vedere,0.4833333333333334
fait,fatto,0.25
degouter,disgusto,0.45000000000000007
via,attraverso,0.7333333333333334
de racheter,riscattare,0.52
susciter,istigare,0.5333333333333334
concession,concessione,0.013333333333333308
haleine,respiro,0.6190476190476191
honneur,onore,0.4
commun,comune,0.15555555555555556
deguise,mascherato,0.638095238095238
avant,prima,0.6666666666666667
monde,mondo,0.18666666666666676
coudre,cucire,0.30000000000000004
urgent,urgente,0.022222222222222143
epiphanie,epifania,0.2416666666666667
hostile,ostile,0.022222222222222143
anxieux,ansioso,0.49523809523809526
refroidissement,raffreddamento,0.37142857142857144
aspect,aspetto,0.16666666666666663
mourir d'envie,bramare,0.5619047619047619
indulgence,indulgenza,0.17333333333333334
possession,possesso,0.033333333333333326
lien,nesso,0.6499999999999999
perseverance,perseveranza,0.14444444444444438
comprehension,comprensione,0.08333333333333337
sans,senza,0.45000000000000007
ethere,etereo,0.15555555555555556
beni,benedetto,0.31666666666666676
il consiste,consiste,0.033333333333333326
heterosexuel,eterosessuale,0.23333333333333328
superstitieux,superstizioso,0.2666666666666665
luxure,lussuria,0.33333333333333337
credibilite,credibilita,0.08484848484848473
synthetiser,sintetizzare,0.33333333333333337
definir,definire,0.01904761904761898
voir,ecco,0.6500000000000001
