es,ro,Alignment Score
convergencia,convergenta,0.09090909090909083
exponer,expune,0.1777777777777778
causa,cauza,0.18666666666666676
escarcha,bruma,0.5733333333333334
sucumbir,sucomba,0.2761904761904762
preocupaciones,preocupari,0.1266666666666666
vicisitud,vicisitudine,0.02962962962962956
hice,am facut,0.7333333333333334
peyorativo,peiorativ,0.11851851851851858
pretension,pretensionare,0.026666666666666616
ratificar,ratifica,0.016666666666666607
excelencia,excelenta,0.11111111111111116
disruptivo,perturbatoare,0.5466666666666666
paradoja,paradox,0.1428571428571429
tacito,tacit,0.026666666666666727
par,pereche,0.4222222222222223
astuto,viclean,0.711111111111111
beligerante,beligerant,0.013333333333333308
ademas,in plus,0.7
rey,rege,0.33333333333333337
versatilidad,versatilitate,0.16111111111111098
sobreestimar,supraestima,0.2545454545454545
sostiene,tine,0.09999999999999998
afable,afabil,0.15555555555555556
etica,etica,0.0
brusco,nepoliticos,0.6222222222222222
consonante,consoana,0.1333333333333333
exacerbado,exacerbata,0.17333333333333334
deseo,dorinta,0.5333333333333333
intransigente,fara compromisuri,0.6051282051282052
subterfugio,subterfugiu,0.08484848484848473
congruencia,congruenta,0.09999999999999998
extrovertido,extrovertit,0.09090909090909083
prudencia,prudenta,0.125
icono,pictograma,0.44000000000000006
cultura,cultura,0.0
enlace,legatura,0.5888888888888888
sesion,sesiune,0.1777777777777778
voluntad,voi,0.4222222222222223
tambien,de asemenea,0.4285714285714286
afecto,afectiune,0.18888888888888877
plausibilidad,plauzibilitatea,0.2205128205128204
derecho,drept,0.3866666666666667
al azar,la intamplare,0.34285714285714286
arrogante,arogant,0.03809523809523818
precedente,precedent,0.014814814814814725
rectificacion,rectificare,0.16969696969696957
inactivo,inactiv,0.01904761904761898
impulso,impuls,0.022222222222222143
adicional,aditional,0.10370370370370374
trivial,banal,0.5333333333333333
contemporaneo,contemporan,0.018181818181817966
hojas perennes,vesnic verde,0.5166666666666667
circunstancia,circumstanta,0.16111111111111098
intransigencia,intransigenta,0.07692307692307687
posteriormente,posterior,0.04444444444444429
quintaesencia,chintesenta,0.2606060606060606
prematuro,intempestiv,0.5925925925925926
heterogeneo,eterogen,0.04166666666666663
inferencia,deducere,0.5416666666666667
leer,a citi,0.8666666666666667
tenaz,tenace,0.19999999999999996
aqui,aici,0.43333333333333335
resistencia,rezistenta,0.19333333333333336
entonces,asa de,0.711111111111111
preliminar,preliminar,0.0
cordialidad,cordialitate,0.17575757575757567
inconveniencia,incomoda,0.3666666666666668
util,util,0.0
persistencia,persistenta,0.09090909090909083
origen,origine,0.16666666666666674
virtud,virtute,0.16666666666666663
gratitud,recunostinta,0.4833333333333334
demanda,cerere,0.7111111111111111
impredecible,imprevizibile,0.2222222222222222
presumir,lauda,0.7333333333333334
socioambiental,socio-mediu,0.33939393939393925
lujuria,pofta,0.6933333333333334
costa,tarm,0.45000000000000007
plenitud,plenitudine,0.033333333333333215
entonces,apoi,0.7333333333333334
multifacetico,cu mai multe fatete,0.37435897435897436
ver,vedea,0.3555555555555556
hecho,fapt,0.85
asco,dezgust,0.7166666666666668
a traves de,prin intermediul,0.5212121212121212
para redimir,a rascumpara,0.5000000000000001
instigar,instiga,0.01904761904761898
concesion,concesiune,0.11851851851851858
aliento,suflare,0.6095238095238096
honor,onora,0.18666666666666676
comun,uzual,0.6799999999999999
disfrazado,deghizat,0.45000000000000007
antes,inainte de,0.28
mundo,lume,0.6666666666666667
coser,a coase,0.22666666666666668
urgente,urgent,0.022222222222222143
epifania,epifanie,0.1166666666666667
hostil,ostil,0.026666666666666727
ansioso,nerabdator,0.638095238095238
enfriamiento,racire,0.4
aspecto,aspect,0.022222222222222143
ansiar,a pofti,0.5777777777777777
indulgencia,indulgenta,0.09999999999999998
posesion,detinere,0.55
nexo,legatura,0.7333333333333334
perserverancia,perseverenta,0.17222222222222228
comprension,intelegere,0.6666666666666667
sin,fara,0.8666666666666667
etereo,eteric,0.288888888888889
bienaventurado,binecuvantat,0.37777777777777777
consiste,consta,0.188888888888889
heterosexual,heterosexual,0.0
supersticioso,superstitios,0.08888888888888902
lujuria,pofta,0.6933333333333334
credibilidad,credibilitate,0.16111111111111098
sintetizar,sintetiza,0.014814814814814725
definir,defini,0.022222222222222143
mirad,iata,0.4833333333333334
