pt,it,Alignment Score
convergencia,convergenza,0.09090909090909083
expor,esporre,0.2266666666666668
causa,causa,0.0
rima,brina,0.2666666666666666
sucumbir,soccombere,0.375
concerne,preoccupazioni,0.5833333333333333
vicissitude,vicenda,0.40000000000000013
fiz,l'ho fatto,0.7555555555555555
pejorativo,peggiorativo,0.10666666666666669
pretensao,pretesa,0.03809523809523818
ratificar,ratificare,0.014814814814814725
excelencia,eccellenza,0.27333333333333343
disruptivo,dirompente,0.44000000000000006
paradoxo,paradosso,0.125
tacito,tacito,0.0
por,paio,0.33333333333333337
ardiloso,astuzia,0.6095238095238096
beligerante,belligerante,0.012121212121212088
ademais,inoltre,0.7142857142857143
rei,re,0.06666666666666676
versatilidade,versatilita,0.10303030303030292
superestimar,sopravvalutare,0.45000000000000007
detem,tiene,0.52
afavel,affabile,0.3333333333333335
etica,etica,0.0
rude,maleducato,0.75
consoante,consonante,0.014814814814814725
exacerbado,esasperato,0.3666666666666667
desejo,desiderio,0.20000000000000007
intransigente,intransigente,0.0
subterfugio,sotterfugio,0.1575757575757576
congruencia,congruenza,0.09999999999999998
extrovertido,estroverso,0.19999999999999996
prudencia,prudenza,0.125
icone,icona,0.18666666666666676
cultura,cultura,0.0
elo,collegamento,0.5333333333333334
sessao,sessione,0.18888888888888888
ira,volere,0.6888888888888889
tambem,pure,0.6833333333333333
afeto,affetto,0.053333333333333344
plausibilidade,plausibilita,0.09444444444444422
hetero,dritto,0.5666666666666667
esmo,a casaccio,0.5666666666666667
arrogante,arrogante,0.0
precedente,precedente,0.0
retificacao,rettifica,0.11851851851851847
ocioso,oziare,0.5777777777777777
impeto,quantita di moto,0.42222222222222217
complementar,aggiuntivo,0.6799999999999999
trivial,banale,0.5777777777777777
contemporaneo,contemporaneo,0.0
perene,sempreverde,0.3666666666666667
circunstancia,circostanza,0.18181818181818177
intransigencia,intransigenza,0.07692307692307687
posteriormente,posteriormente,0.0
quintessencia,quintessenza,0.08333333333333337
intempestivo,prematuro,0.5111111111111111
heterogeneo,eterogeneo,0.013333333333333308
ilacao,inferenza,0.6
ler,leggere,0.1333333333333333
tenaz,tenace,0.19999999999999996
aquem,qui,0.37777777777777777
resistencia,resistenza,0.09999999999999998
tao,cosi,0.6222222222222222
preliminar,preliminare,0.013333333333333308
cordialidade,cordialita,0.11333333333333329
inconveniencia,inconveniente,0.1384615384615382
solicito,utile,0.7333333333333334
persistencia,persistenza,0.09090909090909083
procedencia,origine,0.6476190476190476
virtude,virtu,0.039999999999999925
gratidao,gratitudine,0.25
demanda,richiesta,0.6285714285714286
imprevisivel,imprevedibile,0.23333333333333328
jactancia,vantarsi,0.4666666666666667
socioambiental,socio-ambientale,0.01904761904761898
concupiscencia,lussuria,0.4916666666666667
orla,costa,0.4666666666666667
plenitude,pienezza,0.44166666666666676
pois,poi,0.04444444444444451
multifacetado,multiforme,0.2733333333333332
vide,vedere,0.2833333333333333
fato,fatto,0.033333333333333326
asco,disgusto,0.5333333333333334
via,attraverso,0.7333333333333334
redimir,riscattare,0.5142857142857143
instigar,istigare,0.1166666666666667
concessao,concessione,0.12592592592592589
alento,respiro,0.5888888888888889
honra,onore,0.3733333333333334
comum,comune,0.19999999999999996
dissimulado,mascherato,0.5933333333333334
ante,prima,0.6500000000000001
mundo,mondo,0.18666666666666676
coser,cucire,0.5333333333333333
urge,urgente,0.06666666666666676
epifania,epifania,0.0
hostil,ostile,0.15555555555555556
ansioso,ansioso,0.0
arrefecimento,raffreddamento,0.33333333333333337
aspecto,aspetto,0.13333333333333341
almejar,bramare,0.38095238095238093
indulgencia,indulgenza,0.09999999999999998
posse,possesso,0.05333333333333323
nexo,nesso,0.25
perseveranca,perseveranza,0.07777777777777772
entendimento,comprensione,0.5611111111111111
sem,senza,0.3555555555555556
etereo,etereo,0.0
bem-aventurado,benedetto,0.41481481481481497
consiste,consiste,0.0
heterossexual,eterosessuale,0.20512820512820518
supersticioso,superstizioso,0.07179487179487176
luxuria,lussuria,0.1428571428571429
credibilidade,credibilita,0.10303030303030292
sintetizar,sintetizzare,0.026666666666666616
defina,definire,0.1777777777777777
eis,ecco,0.6000000000000001
