it,ro,Alignment Score
convergenza,convergenta,0.08484848484848473
esporre,expune,0.4555555555555555
causa,cauza,0.18666666666666676
brina,bruma,0.34666666666666657
soccombere,sucomba,0.2952380952380952
preoccupazioni,preocupari,0.1266666666666666
vicenda,vicisitudine,0.4095238095238096
l'ho fatto,am facut,0.45000000000000007
peggiorativo,peiorativ,0.03703703703703709
pretesa,pretensionare,0.08571428571428563
ratificare,ratifica,0.025000000000000022
eccellenza,excelenta,0.2222222222222222
dirompente,perturbatoare,0.5266666666666666
paradosso,paradox,0.1523809523809524
tacito,tacit,0.026666666666666727
paio,pereche,0.6833333333333333
astuzia,viclean,0.6095238095238096
belligerante,beligerant,0.026666666666666616
inoltre,in plus,0.49523809523809526
re,rege,0.09999999999999998
versatilita,versatilitate,0.018181818181817966
sopravvalutare,supraestima,0.4181818181818183
tiene,tine,0.033333333333333326
affabile,afabil,0.04444444444444451
etica,etica,0.0
maleducato,nepoliticos,0.6066666666666667
consonante,consoana,0.1333333333333333
esasperato,exacerbata,0.3666666666666667
desiderio,dorinta,0.5142857142857143
intransigente,fara compromisuri,0.6051282051282052
sotterfugio,subterfugiu,0.24242424242424243
congruenza,congruenta,0.09333333333333338
estroverso,extrovertit,0.2733333333333333
prudenza,prudenta,0.1166666666666667
icona,pictograma,0.28
cultura,cultura,0.0
collegamento,legatura,0.3666666666666668
sessione,sesiune,0.1523809523809525
volere,voi,0.37777777777777777
pure,de asemenea,0.7666666666666667
affetto,afectiune,0.40000000000000013
plausibilita,plauzibilitatea,0.09999999999999987
dritto,drept,0.3733333333333334
a casaccio,la intamplare,0.5466666666666667
arrogante,arogant,0.03809523809523818
precedente,precedent,0.014814814814814725
rettifica,rectificare,0.12592592592592589
oziare,inactiv,0.5888888888888888
quantita di moto,impuls,0.6888888888888889
aggiuntivo,aditional,0.4
banale,banal,0.026666666666666727
contemporaneo,contemporan,0.018181818181817966
sempreverde,vesnic verde,0.38787878787878793
circostanza,circumstanta,0.17575757575757578
intransigenza,intransigenta,0.07179487179487176
posteriormente,posterior,0.04444444444444429
quintessenza,chintesenta,0.2545454545454545
prematuro,intempestiv,0.5925925925925926
eterogeneo,eterogen,0.025000000000000022
inferenza,deducere,0.5333333333333334
leggere,a citi,0.8333333333333334
tenace,tenace,0.0
qui,aici,0.6000000000000001
resistenza,rezistenta,0.18666666666666676
cosi,asa de,0.7
preliminare,preliminar,0.013333333333333308
cordialita,cordialitate,0.019999999999999907
inconveniente,incomoda,0.4583333333333335
utile,util,0.033333333333333326
persistenza,persistenta,0.08484848484848473
origine,origine,0.0
virtu,virtute,0.039999999999999925
gratitudine,recunostinta,0.5515151515151515
richiesta,cerere,0.6000000000000001
imprevedibile,imprevizibile,0.13333333333333341
vantarsi,lauda,0.5866666666666667
socio-ambientale,socio-mediu,0.2666666666666666
lussuria,pofta,0.7066666666666668
costa,tarm,0.45000000000000007
pienezza,plenitudine,0.45000000000000007
poi,apoi,0.04444444444444451
multiforme,cu mai multe fatete,0.41333333333333344
vedere,vedea,0.19999999999999996
fatto,fapt,0.25
disgusto,dezgust,0.2666666666666666
attraverso,prin intermediul,0.6333333333333333
riscattare,a rascumpara,0.4600000000000002
istigare,instiga,0.1428571428571429
concessione,concesiune,0.1066666666666668
respiro,suflare,0.5904761904761905
onore,onora,0.18666666666666676
comune,uzual,0.6933333333333334
mascherato,deghizat,0.5583333333333333
prima,inainte de,0.6
mondo,lume,0.6666666666666667
cucire,a coase,0.5777777777777777
urgente,urgent,0.022222222222222143
epifania,epifanie,0.1166666666666667
ostile,ostil,0.026666666666666727
ansioso,nerabdator,0.638095238095238
raffreddamento,racire,0.38888888888888895
aspetto,aspect,0.16666666666666663
bramare,a pofti,0.7142857142857143
indulgenza,indulgenta,0.09333333333333338
possesso,detinere,0.7250000000000001
nesso,legatura,0.7333333333333334
perseveranza,perseverenta,0.15555555555555545
comprensione,intelegere,0.5933333333333334
senza,fara,0.6499999999999999
etereo,eteric,0.288888888888889
benedetto,binecuvantat,0.41481481481481486
consiste,consta,0.188888888888889
eterosessuale,heterosexual,0.16111111111111098
superstizioso,superstitios,0.08888888888888902
lussuria,pofta,0.7066666666666668
credibilita,credibilitate,0.018181818181817966
sintetizzare,sintetiza,0.03703703703703687
definire,defini,0.03333333333333344
ecco,iata,0.8333333333333334
