en,fr,Alignment Score
convergence,convergence,0.0
expose,exposer,0.022222222222222143
cause,cause,0.0
rime,rime,0.0
succumb,succomber,0.16190476190476188
concerns,preoccupations,0.475
vicissitude,vicissitudes,0.012121212121212088
i did,je l'ai fait,0.48
pejorative,pejoratif,0.11111111111111116
pretension,pretention,0.09333333333333338
ratify,ratifier,0.1777777777777777
excellence,excellence,0.0
disruptive,perturbateur,0.54
paradox,paradoxe,0.01904761904761898
tacit,tacite,0.026666666666666727
pair,paire,0.033333333333333326
cunning,ruse,0.7166666666666668
belligerent,belligerant,0.08484848484848484
in addition,en outre,0.5666666666666667
king,roi,0.6222222222222222
versatility,polyvalence,0.6121212121212122
overestimate,surestimer,0.2799999999999999
holds,tient,0.8266666666666667
affable,affable,0.0
ethics,ethique,0.30000000000000016
rude,grossier,0.5333333333333334
consonant,consonne,0.13333333333333341
exacerbated,exacerbe,0.04166666666666663
desire,desir,0.026666666666666727
uncompromising,intransigeant,0.5384615384615384
subterfuge,subterfuge,0.0
congruence,congruence,0.0
extroverted,extraverti,0.19333333333333336
prudence,prudence,0.0
icon,icone,0.033333333333333326
culture,culture,0.0
link,lien,0.2333333333333334
session,session,0.0
will,volonte,0.7
too,aussi,0.8888888888888888
affection,affection,0.0
plausibility,plausibilite,0.07777777777777772
straight,droit,0.42666666666666664
haphazardly,au hasard,0.32592592592592595
arrogant,arrogant,0.0
precedent,precedent,0.0
rectification,rectification,0.0
idle,inactif,0.6833333333333333
momentum,elan,0.5166666666666666
additional,supplementaire,0.6933333333333334
trivial,banal,0.5333333333333333
contemporary,contemporain,0.14444444444444438
evergreen,a feuilles persistantes,0.5925925925925926
circumstance,circonstance,0.1444444444444445
intransigence,intransigeance,0.01025641025641022
posteriorly,posterieurement,0.2666666666666666
quintessence,quintessence,0.0
untimely,premature,0.6416666666666666
heterogeneous,heterogene,0.026666666666666616
inference,inference,0.0
to read,lire,0.5
tenacious,tenace,0.18888888888888877
here,ici,0.8666666666666667
resistance,resistance,0.0
so,donc,0.5666666666666667
preliminary,preliminaire,0.09696969696969682
cordiality,cordialite,0.09333333333333327
inconvenience,desagrement,0.6303030303030304
helpful,utile,0.5466666666666666
persistence,persistance,0.08484848484848484
origin,origine,0.022222222222222143
virtue,vertu,0.21333333333333337
gratitude,gratitude,0.0
demand,demande,0.022222222222222143
unpredictable,imprevisible,0.3666666666666667
boast,se vanter,0.5733333333333334
socio-environmental,socio-environnemental,0.010526315789473606
lust,luxure,0.4666666666666667
shore,rive,0.45000000000000007
fullness,plenitude,0.55
then,alors,0.85
multifaceted,multiforme,0.2733333333333332
see,voir,0.8666666666666667
fact,fait,0.2333333333333334
disgust,degouter,0.40000000000000013
via,via,0.0
to redeem,de racheter,0.5111111111111111
instigate,susciter,0.45000000000000007
concession,concession,0.0
breath,haleine,0.7
honor,honneur,0.21333333333333337
common,commun,0.15555555555555556
disguised,deguise,0.16190476190476188
before,avant,0.8400000000000001
world,monde,0.5466666666666666
sew,coudre,0.6666666666666667
urgent,urgent,0.0
epiphany,epiphanie,0.125
hostile,hostile,0.0
anxious,anxieux,0.2666666666666667
cooling,refroidissement,0.5904761904761905
aspect,aspect,0.0
to crave,mourir d'envie,0.5
indulgence,indulgence,0.0
possession,possession,0.0
nexus,lien,0.6499999999999999
perseverance,perseverance,0.0
understanding,comprehension,0.5846153846153846
without,sans,0.8833333333333334
ethereal,ethere,0.03333333333333344
blessed,beni,0.5
it consists,il consiste,0.16969696969696968
heterosexual,heterosexuel,0.07777777777777772
superstitious,superstitieux,0.1435897435897434
lust,luxure,0.4666666666666667
credibility,credibilite,0.08484848484848473
synthesize,synthetiser,0.18666666666666676
define,definir,0.16666666666666663
behold,voir,0.7
