pt,en,Alignment Score
convergencia,convergence,0.09090909090909083
expor,expose,0.19999999999999996
causa,cause,0.18666666666666676
rima,rime,0.2333333333333334
sucumbir,succumb,0.1428571428571429
concerne,concerns,0.1166666666666667
vicissitude,vicissitude,0.0
fiz,i did,0.6444444444444445
pejorativo,pejorative,0.09333333333333327
pretensao,pretension,0.11851851851851858
ratificar,ratify,0.18888888888888877
excelencia,excellence,0.17999999999999994
disruptivo,disruptive,0.09333333333333327
paradoxo,paradox,0.01904761904761898
tacito,tacit,0.026666666666666727
por,pair,0.33333333333333337
ardiloso,cunning,0.7333333333333334
beligerante,belligerent,0.1696969696969698
ademais,in addition,0.5428571428571429
rei,king,0.6222222222222222
versatilidade,versatility,0.16969696969696957
superestimar,overestimate,0.28888888888888886
detem,holds,0.6799999999999999
afavel,affable,0.3222222222222223
etica,ethics,0.21333333333333337
rude,rude,0.0
consoante,consonant,0.10370370370370374
exacerbado,exacerbated,0.09999999999999998
desejo,desire,0.288888888888889
intransigente,uncompromising,0.5384615384615384
subterfugio,subterfuge,0.09999999999999987
congruencia,congruence,0.09999999999999987
extrovertido,extroverted,0.09696969696969682
prudencia,prudence,0.125
icone,icon,0.033333333333333326
cultura,culture,0.13333333333333341
elo,link,0.6222222222222222
sessao,session,0.1777777777777778
ira,will,0.6222222222222222
tambem,too,0.6444444444444444
afeto,affection,0.1066666666666668
plausibilidade,plausibility,0.15555555555555545
hetero,straight,0.5888888888888889
esmo,haphazardly,0.9500000000000001
arrogante,arrogant,0.016666666666666607
precedente,precedent,0.014814814814814725
retificacao,rectification,0.18181818181818177
ocioso,idle,0.6833333333333333
impeto,momentum,0.48888888888888893
complementar,additional,0.6133333333333333
trivial,trivial,0.0
contemporaneo,contemporary,0.1499999999999999
perene,evergreen,0.34444444444444455
circunstancia,circumstance,0.16111111111111098
intransigencia,intransigence,0.07692307692307687
posteriormente,posteriorly,0.17575757575757556
quintessencia,quintessence,0.08333333333333337
intempestivo,untimely,0.4916666666666667
heterogeneo,heterogeneous,0.018181818181817966
ilacao,inference,0.6111111111111112
ler,to read,0.6888888888888889
tenaz,tenacious,0.2400000000000001
aquem,here,0.6666666666666667
resistencia,resistance,0.19333333333333336
tao,so,0.5
preliminar,preliminary,0.013333333333333308
cordialidade,cordiality,0.18666666666666665
inconveniencia,inconvenience,0.07692307692307687
solicito,helpful,0.7238095238095238
persistencia,persistence,0.09090909090909083
procedencia,origin,0.6333333333333333
virtude,virtue,0.022222222222222143
gratidao,gratitude,0.2333333333333334
demanda,demand,0.022222222222222143
imprevisivel,unpredictable,0.5111111111111112
jactancia,boast,0.6
socioambiental,socio-environmental,0.20952380952380945
concupiscencia,lust,0.6499999999999999
orla,shore,0.4666666666666667
plenitude,fullness,0.55
pois,then,0.8333333333333334
multifacetado,multifaceted,0.0888888888888888
vide,see,0.6000000000000001
fato,fact,0.2333333333333334
asco,disgust,0.7166666666666668
via,via,0.0
redimir,to redeem,0.40000000000000013
instigar,instigate,0.125
concessao,concession,0.11851851851851858
alento,breath,0.5777777777777777
honra,honor,0.18666666666666676
comum,common,0.19999999999999996
dissimulado,disguised,0.40000000000000013
ante,before,0.6666666666666667
mundo,world,0.6799999999999999
coser,sew,0.37777777777777777
urge,urgent,0.050000000000000155
epifania,epiphany,0.33333333333333337
hostil,hostile,0.022222222222222143
ansioso,anxious,0.2666666666666666
arrefecimento,cooling,0.5619047619047619
aspecto,aspect,0.022222222222222143
almejar,to crave,0.6190476190476191
indulgencia,indulgence,0.09999999999999987
posse,possession,0.07999999999999985
nexo,nexus,0.25
perseveranca,perseverance,0.07777777777777772
entendimento,understanding,0.45000000000000007
sem,without,0.9333333333333333
etereo,ethereal,0.18888888888888888
bem-aventurado,blessed,0.4571428571428572
consiste,it consists,0.15000000000000002
heterossexual,heterosexual,0.011111111111111072
supersticioso,superstitious,0.1435897435897434
luxuria,lust,0.4833333333333334
credibilidade,credibility,0.16969696969696957
sintetizar,synthesize,0.3666666666666667
defina,define,0.15555555555555556
eis,behold,0.6666666666666667
